time,hvac_oveZonSupEas_TZonCooSet_u
962730,303.15
962760,303.15
962790,303.15
962820,303.15
962850,303.15
962880,303.15
962910,303.15
962940,303.15
962970,303.15
963000,303.15
963030,303.15
963060,303.15
963090,303.15
963120,303.15
963150,303.15
963180,303.15
963210,303.15
963240,303.15
963270,303.15
963300,303.15
963330,303.15
963360,303.15
963390,303.15
963420,303.15
963450,303.15
963480,303.15
963510,303.15
963540,303.15
963570,303.15
963600,303.15
963630,303.15
963660,303.15
963690,303.15
963720,303.15
963750,303.15
963780,303.15
963810,303.15
963840,303.15
963870,303.15
963900,303.15
963930,303.15
963960,303.15
963990,303.15
964020,303.15
964050,303.15
964080,303.15
964110,303.15
964140,303.15
964170,303.15
964200,303.15
964230,303.15
964260,303.15
964290,303.15
964320,303.15
964350,303.15
964380,303.15
964410,303.15
964440,303.15
964470,303.15
964500,303.15
964530,303.15
964560,303.15
964590,303.15
964620,303.15
964650,303.15
964680,303.15
964710,303.15
964740,303.15
964770,303.15
964800,303.15
964830,303.15
964860,303.15
964890,303.15
964920,303.15
964950,303.15
964980,303.15
965010,303.15
965040,303.15
965070,303.15
965100,303.15
965130,303.15
965160,303.15
965190,303.15
965220,303.15
965250,303.15
965280,303.15
965310,303.15
965340,303.15
965370,303.15
965400,303.15
965430,303.15
965460,303.15
965490,303.15
965520,303.15
965550,303.15
965580,303.15
965610,303.15
965640,303.15
965670,303.15
965700,303.15
965730,303.15
965760,303.15
965790,303.15
965820,303.15
965850,303.15
965880,303.15
965910,303.15
965940,303.15
965970,303.15
966000,303.15
966030,303.15
966060,303.15
966090,303.15
966120,303.15
966150,303.15
966180,303.15
966210,303.15
966240,303.15
966270,303.15
966300,303.15
966330,303.15
966360,303.15
966390,303.15
966420,303.15
966450,303.15
966480,303.15
966510,303.15
966540,303.15
966570,303.15
966600,303.15
966630,303.15
966660,303.15
966690,303.15
966720,303.15
966750,303.15
966780,303.15
966810,303.15
966840,303.15
966870,303.15
966900,303.15
966930,303.15
966960,303.15
966990,303.15
967020,303.15
967050,303.15
967080,303.15
967110,303.15
967140,303.15
967170,303.15
967200,303.15
967230,303.15
967260,303.15
967290,303.15
967320,303.15
967350,303.15
967380,303.15
967410,303.15
967440,303.15
967470,303.15
967500,303.15
967530,303.15
967560,303.15
967590,303.15
967620,303.15
967650,303.15
967680,303.15
967710,303.15
967740,303.15
967770,303.15
967800,303.15
967830,303.15
967860,303.15
967890,303.15
967920,303.15
967950,303.15
967980,303.15
968010,303.15
968040,303.15
968070,303.15
968100,303.15
968130,303.15
968160,303.15
968190,303.15
968220,303.15
968250,303.15
968280,303.15
968310,303.15
968340,303.15
968370,303.15
968400,303.15
968430,303.15
968460,303.15
968490,303.15
968520,303.15
968550,303.15
968580,303.15
968610,303.15
968640,303.15
968670,303.15
968700,303.15
968730,303.15
968760,303.15
968790,303.15
968820,303.15
968850,303.15
968880,303.15
968910,303.15
968940,303.15
968970,303.15
969000,303.15
969030,303.15
969060,303.15
969090,303.15
969120,303.15
969150,303.15
969180,303.15
969210,303.15
969240,303.15
969270,303.15
969300,303.15
969330,303.15
969360,303.15
969390,303.15
969420,303.15
969450,303.15
969480,303.15
969510,303.15
969540,303.15
969570,303.15
969600,303.15
969630,303.15
969660,303.15
969690,303.15
969720,303.15
969750,303.15
969780,303.15
969810,303.15
969840,303.15
969870,303.15
969900,303.15
969930,303.15
969960,303.15
969990,303.15
970020,303.15
970050,303.15
970080,303.15
970110,303.15
970140,303.15
970170,303.15
970200,303.15
970230,303.15
970260,303.15
970290,303.15
970320,303.15
970350,303.15
970380,303.15
970410,303.15
970440,303.15
970470,303.15
970500,303.15
970530,303.15
970560,303.15
970590,303.15
970620,303.15
970650,303.15
970680,303.15
970710,297.15
970740,297.15
970770,297.15
970800,297.15
970830,297.15
970860,297.15
970890,297.15
970920,297.15
970950,297.15
970980,297.15
971010,297.15
971040,297.15
971070,297.15
971100,297.15
971130,297.15
971160,297.15
971190,297.15
971220,297.15
971250,297.15
971280,297.15
971310,297.15
971340,297.15
971370,297.15
971400,297.15
971430,297.15
971460,297.15
971490,297.15
971520,297.15
971550,297.15
971580,297.15
971610,297.15
971640,297.15
971670,297.15
971700,297.15
971730,297.15
971760,297.15
971790,297.15
971820,297.15
971850,297.15
971880,297.15
971910,297.15
971940,297.15
971970,297.15
972000,297.15
972030,297.15
972060,297.15
972090,297.15
972120,297.15
972150,297.15
972180,297.15
972210,297.15
972240,297.15
972270,297.15
972300,297.15
972330,297.15
972360,297.15
972390,297.15
972420,297.15
972450,297.15
972480,297.15
972510,297.15
972540,297.15
972570,297.15
972600,297.15
972630,297.15
972660,297.15
972690,297.15
972720,297.15
972750,297.15
972780,297.15
972810,297.15
972840,297.15
972870,297.15
972900,297.15
972930,297.15
972960,297.15
972990,297.15
973020,297.15
973050,297.15
973080,297.15
973110,297.15
973140,297.15
973170,297.15
973200,297.15
973230,297.15
973260,297.15
973290,297.15
973320,297.15
973350,297.15
973380,297.15
973410,297.15
973440,297.15
973470,297.15
973500,297.15
973530,297.15
973560,297.15
973590,297.15
973620,297.15
973650,297.15
973680,297.15
973710,297.15
973740,297.15
973770,297.15
973800,297.15
973830,297.15
973860,297.15
973890,297.15
973920,297.15
973950,297.15
973980,297.15
974010,297.15
974040,297.15
974070,297.15
974100,297.15
974130,297.15
974160,297.15
974190,297.15
974220,297.15
974250,297.15
974280,297.15
974310,297.15
974340,297.15
974370,297.15
974400,297.15
974430,297.15
974460,297.15
974490,297.15
974520,297.15
974550,297.15
974580,297.15
974610,297.15
974640,297.15
974670,297.15
974700,297.15
974730,297.15
974760,297.15
974790,297.15
974820,297.15
974850,297.15
974880,297.15
974910,297.15
974940,297.15
974970,297.15
975000,297.15
975030,297.15
975060,297.15
975090,297.15
975120,297.15
975150,297.15
975180,297.15
975210,297.15
975240,297.15
975270,297.15
975300,297.15
975330,297.15
975360,297.15
975390,297.15
975420,297.15
975450,297.15
975480,297.15
975510,297.15
975540,297.15
975570,297.15
975600,297.15
975630,297.15
975660,297.15
975690,297.15
975720,297.15
975750,297.15
975780,297.15
975810,297.15
975840,297.15
975870,297.15
975900,297.15
975930,297.15
975960,297.15
975990,297.15
976020,297.15
976050,297.15
976080,297.15
976110,297.15
976140,297.15
976170,297.15
976200,297.15
976230,297.15
976260,297.15
976290,297.15
976320,297.15
976350,297.15
976380,297.15
976410,297.15
976440,297.15
976470,297.15
976500,297.15
976530,297.15
976560,297.15
976590,297.15
976620,297.15
976650,297.15
976680,297.15
976710,297.15
976740,297.15
976770,297.15
976800,297.15
976830,297.15
976860,297.15
976890,297.15
976920,297.15
976950,297.15
976980,297.15
977010,297.15
977040,297.15
977070,297.15
977100,297.15
977130,297.15
977160,297.15
977190,297.15
977220,297.15
977250,297.15
977280,297.15
977310,297.15
977340,297.15
977370,297.15
977400,297.15
977430,297.15
977460,297.15
977490,297.15
977520,297.15
977550,297.15
977580,297.15
977610,297.15
977640,297.15
977670,297.15
977700,297.15
977730,297.15
977760,297.15
977790,297.15
977820,297.15
977850,297.15
977880,297.15
977910,297.15
977940,297.15
977970,297.15
978000,297.15
978030,297.15
978060,297.15
978090,297.15
978120,297.15
978150,297.15
978180,297.15
978210,297.15
978240,297.15
978270,297.15
978300,297.15
978330,297.15
978360,297.15
978390,297.15
978420,297.15
978450,297.15
978480,297.15
978510,297.15
978540,297.15
978570,297.15
978600,297.15
978630,297.15
978660,297.15
978690,297.15
978720,297.15
978750,297.15
978780,297.15
978810,297.15
978840,297.15
978870,297.15
978900,297.15
978930,297.15
978960,297.15
978990,297.15
979020,297.15
979050,297.15
979080,297.15
979110,297.15
979140,297.15
979170,297.15
979200,297.15
979230,297.15
979260,297.15
979290,297.15
979320,297.15
979350,297.15
979380,297.15
979410,297.15
979440,297.15
979470,297.15
979500,297.15
979530,297.15
979560,297.15
979590,297.15
979620,297.15
979650,297.15
979680,297.15
979710,297.15
979740,297.15
979770,297.15
979800,297.15
979830,297.15
979860,297.15
979890,297.15
979920,297.15
979950,297.15
979980,297.15
980010,297.15
980040,297.15
980070,297.15
980100,297.15
980130,297.15
980160,297.15
980190,297.15
980220,297.15
980250,297.15
980280,297.15
980310,297.15
980340,297.15
980370,297.15
980400,297.15
980430,297.15
980460,297.15
980490,297.15
980520,297.15
980550,297.15
980580,297.15
980610,297.15
980640,297.15
980670,297.15
980700,297.15
980730,297.15
980760,297.15
980790,297.15
980820,297.15
980850,297.15
980880,297.15
980910,297.15
980940,297.15
980970,297.15
981000,297.15
981030,297.15
981060,297.15
981090,297.15
981120,297.15
981150,297.15
981180,297.15
981210,297.15
981240,297.15
981270,297.15
981300,297.15
981330,297.15
981360,297.15
981390,297.15
981420,297.15
981450,297.15
981480,297.15
981510,297.15
981540,297.15
981570,297.15
981600,297.15
981630,297.15
981660,297.15
981690,297.15
981720,297.15
981750,297.15
981780,297.15
981810,297.15
981840,297.15
981870,297.15
981900,297.15
981930,297.15
981960,297.15
981990,297.15
982020,297.15
982050,297.15
982080,297.15
982110,297.15
982140,297.15
982170,297.15
982200,297.15
982230,297.15
982260,297.15
982290,297.15
982320,297.15
982350,297.15
982380,297.15
982410,297.15
982440,297.15
982470,297.15
982500,297.15
982530,297.15
982560,297.15
982590,297.15
982620,297.15
982650,297.15
982680,297.15
982710,297.15
982740,297.15
982770,297.15
982800,297.15
982830,297.15
982860,297.15
982890,297.15
982920,297.15
982950,297.15
982980,297.15
983010,297.15
983040,297.15
983070,297.15
983100,297.15
983130,297.15
983160,297.15
983190,297.15
983220,297.15
983250,297.15
983280,297.15
983310,297.15
983340,297.15
983370,297.15
983400,297.15
983430,297.15
983460,297.15
983490,297.15
983520,297.15
983550,297.15
983580,297.15
983610,297.15
983640,297.15
983670,297.15
983700,297.15
983730,297.15
983760,297.15
983790,297.15
983820,297.15
983850,297.15
983880,297.15
983910,297.15
983940,297.15
983970,297.15
984000,297.15
984030,297.15
984060,297.15
984090,297.15
984120,297.15
984150,297.15
984180,297.15
984210,297.15
984240,297.15
984270,297.15
984300,297.15
984330,297.15
984360,297.15
984390,297.15
984420,297.15
984450,297.15
984480,297.15
984510,297.15
984540,297.15
984570,297.15
984600,297.15
984630,297.15
984660,297.15
984690,297.15
984720,297.15
984750,297.15
984780,297.15
984810,297.15
984840,297.15
984870,297.15
984900,297.15
984930,297.15
984960,297.15
984990,297.15
985020,297.15
985050,297.15
985080,297.15
985110,297.15
985140,297.15
985170,297.15
985200,297.15
985230,297.15
985260,297.15
985290,297.15
985320,297.15
985350,297.15
985380,297.15
985410,297.15
985440,297.15
985470,297.15
985500,297.15
985530,297.15
985560,297.15
985590,297.15
985620,297.15
985650,297.15
985680,297.15
985710,297.15
985740,297.15
985770,297.15
985800,297.15
985830,297.15
985860,297.15
985890,297.15
985920,297.15
985950,297.15
985980,297.15
986010,297.15
986040,297.15
986070,297.15
986100,297.15
986130,297.15
986160,297.15
986190,297.15
986220,297.15
986250,297.15
986280,297.15
986310,297.15
986340,297.15
986370,297.15
986400,297.15
986430,297.15
986460,297.15
986490,297.15
986520,297.15
986550,297.15
986580,297.15
986610,297.15
986640,297.15
986670,297.15
986700,297.15
986730,297.15
986760,297.15
986790,297.15
986820,297.15
986850,297.15
986880,297.15
986910,297.15
986940,297.15
986970,297.15
987000,297.15
987030,297.15
987060,297.15
987090,297.15
987120,297.15
987150,297.15
987180,297.15
987210,297.15
987240,297.15
987270,297.15
987300,297.15
987330,297.15
987360,297.15
987390,297.15
987420,297.15
987450,297.15
987480,297.15
987510,297.15
987540,297.15
987570,297.15
987600,297.15
987630,297.15
987660,297.15
987690,297.15
987720,297.15
987750,297.15
987780,297.15
987810,297.15
987840,297.15
987870,297.15
987900,297.15
987930,297.15
987960,297.15
987990,297.15
988020,297.15
988050,297.15
988080,297.15
988110,297.15
988140,297.15
988170,297.15
988200,297.15
988230,297.15
988260,297.15
988290,297.15
988320,297.15
988350,297.15
988380,297.15
988410,297.15
988440,297.15
988470,297.15
988500,297.15
988530,297.15
988560,297.15
988590,297.15
988620,297.15
988650,297.15
988680,297.15
988710,297.15
988740,297.15
988770,297.15
988800,297.15
988830,297.15
988860,297.15
988890,297.15
988920,297.15
988950,297.15
988980,297.15
989010,297.15
989040,297.15
989070,297.15
989100,297.15
989130,297.15
989160,297.15
989190,297.15
989220,297.15
989250,297.15
989280,297.15
989310,297.15
989340,297.15
989370,297.15
989400,297.15
989430,297.15
989460,297.15
989490,297.15
989520,297.15
989550,297.15
989580,297.15
989610,297.15
989640,297.15
989670,297.15
989700,297.15
989730,297.15
989760,297.15
989790,297.15
989820,297.15
989850,297.15
989880,297.15
989910,297.15
989940,297.15
989970,297.15
990000,297.15
990030,297.15
990060,297.15
990090,297.15
990120,297.15
990150,297.15
990180,297.15
990210,297.15
990240,297.15
990270,297.15
990300,297.15
990330,297.15
990360,297.15
990390,297.15
990420,297.15
990450,297.15
990480,297.15
990510,297.15
990540,297.15
990570,297.15
990600,297.15
990630,297.15
990660,297.15
990690,297.15
990720,297.15
990750,297.15
990780,297.15
990810,297.15
990840,297.15
990870,297.15
990900,297.15
990930,297.15
990960,297.15
990990,297.15
991020,297.15
991050,297.15
991080,297.15
991110,297.15
991140,297.15
991170,297.15
991200,297.15
991230,297.15
991260,297.15
991290,297.15
991320,297.15
991350,297.15
991380,297.15
991410,297.15
991440,297.15
991470,297.15
991500,297.15
991530,297.15
991560,297.15
991590,297.15
991620,297.15
991650,297.15
991680,297.15
991710,297.15
991740,297.15
991770,297.15
991800,297.15
991830,297.15
991860,297.15
991890,297.15
991920,297.15
991950,297.15
991980,297.15
992010,297.15
992040,297.15
992070,297.15
992100,297.15
992130,297.15
992160,297.15
992190,297.15
992220,297.15
992250,297.15
992280,297.15
992310,297.15
992340,297.15
992370,297.15
992400,297.15
992430,297.15
992460,297.15
992490,297.15
992520,297.15
992550,297.15
992580,297.15
992610,297.15
992640,297.15
992670,297.15
992700,297.15
992730,297.15
992760,297.15
992790,297.15
992820,297.15
992850,297.15
992880,297.15
992910,297.15
992940,297.15
992970,297.15
993000,297.15
993030,297.15
993060,297.15
993090,297.15
993120,297.15
993150,297.15
993180,297.15
993210,297.15
993240,297.15
993270,297.15
993300,297.15
993330,297.15
993360,297.15
993390,297.15
993420,297.15
993450,297.15
993480,297.15
993510,297.15
993540,297.15
993570,297.15
993600,297.15
993630,297.15
993660,297.15
993690,297.15
993720,297.15
993750,297.15
993780,297.15
993810,297.15
993840,297.15
993870,297.15
993900,297.15
993930,297.15
993960,297.15
993990,297.15
994020,297.15
994050,297.15
994080,297.15
994110,297.15
994140,297.15
994170,297.15
994200,297.15
994230,297.15
994260,297.15
994290,297.15
994320,297.15
994350,297.15
994380,297.15
994410,297.15
994440,297.15
994470,297.15
994500,297.15
994530,297.15
994560,297.15
994590,297.15
994620,297.15
994650,297.15
994680,297.15
994710,297.15
994740,297.15
994770,297.15
994800,297.15
994830,297.15
994860,297.15
994890,297.15
994920,297.15
994950,297.15
994980,297.15
995010,297.15
995040,297.15
995070,297.15
995100,297.15
995130,297.15
995160,297.15
995190,297.15
995220,297.15
995250,297.15
995280,297.15
995310,297.15
995340,297.15
995370,297.15
995400,297.15
995430,297.15
995460,297.15
995490,297.15
995520,297.15
995550,297.15
995580,297.15
995610,297.15
995640,297.15
995670,297.15
995700,297.15
995730,297.15
995760,297.15
995790,297.15
995820,297.15
995850,297.15
995880,297.15
995910,297.15
995940,297.15
995970,297.15
996000,297.15
996030,297.15
996060,297.15
996090,297.15
996120,297.15
996150,297.15
996180,297.15
996210,297.15
996240,297.15
996270,297.15
996300,297.15
996330,297.15
996360,297.15
996390,297.15
996420,297.15
996450,297.15
996480,297.15
996510,297.15
996540,297.15
996570,297.15
996600,297.15
996630,297.15
996660,297.15
996690,297.15
996720,297.15
996750,297.15
996780,297.15
996810,297.15
996840,297.15
996870,297.15
996900,297.15
996930,297.15
996960,297.15
996990,297.15
997020,297.15
997050,297.15
997080,297.15
997110,297.15
997140,297.15
997170,297.15
997200,297.15
997230,297.15
997260,297.15
997290,297.15
997320,297.15
997350,297.15
997380,297.15
997410,297.15
997440,297.15
997470,297.15
997500,297.15
997530,297.15
997560,297.15
997590,297.15
997620,297.15
997650,297.15
997680,297.15
997710,297.15
997740,297.15
997770,297.15
997800,297.15
997830,297.15
997860,297.15
997890,297.15
997920,297.15
997950,297.15
997980,297.15
998010,297.15
998040,297.15
998070,297.15
998100,297.15
998130,297.15
998160,297.15
998190,297.15
998220,297.15
998250,297.15
998280,297.15
998310,297.15
998340,297.15
998370,297.15
998400,297.15
998430,297.15
998460,297.15
998490,297.15
998520,297.15
998550,297.15
998580,297.15
998610,297.15
998640,297.15
998670,297.15
998700,297.15
998730,297.15
998760,297.15
998790,297.15
998820,297.15
998850,297.15
998880,297.15
998910,297.15
998940,297.15
998970,297.15
999000,297.15
999030,297.15
999060,297.15
999090,297.15
999120,297.15
999150,297.15
999180,297.15
999210,297.15
999240,297.15
999270,297.15
999300,297.15
999330,297.15
999360,297.15
999390,297.15
999420,297.15
999450,297.15
999480,297.15
999510,297.15
999540,297.15
999570,297.15
999600,297.15
999630,297.15
999660,297.15
999690,297.15
999720,297.15
999750,297.15
999780,297.15
999810,297.15
999840,297.15
999870,297.15
999900,297.15
999930,297.15
999960,297.15
999990,297.15
1000020,297.15
1000050,297.15
1000080,297.15
1000110,297.15
1000140,297.15
1000170,297.15
1000200,297.15
1000230,297.15
1000260,297.15
1000290,297.15
1000320,297.15
1000350,297.15
1000380,297.15
1000410,297.15
1000440,297.15
1000470,297.15
1000500,297.15
1000530,297.15
1000560,297.15
1000590,297.15
1000620,297.15
1000650,297.15
1000680,297.15
1000710,297.15
1000740,297.15
1000770,297.15
1000800,297.15
1000830,297.15
1000860,297.15
1000890,297.15
1000920,297.15
1000950,297.15
1000980,297.15
1001010,297.15
1001040,297.15
1001070,297.15
1001100,297.15
1001130,297.15
1001160,297.15
1001190,297.15
1001220,297.15
1001250,297.15
1001280,297.15
1001310,297.15
1001340,297.15
1001370,297.15
1001400,297.15
1001430,297.15
1001460,297.15
1001490,297.15
1001520,297.15
1001550,297.15
1001580,297.15
1001610,297.15
1001640,297.15
1001670,297.15
1001700,297.15
1001730,297.15
1001760,297.15
1001790,297.15
1001820,297.15
1001850,297.15
1001880,297.15
1001910,297.15
1001940,297.15
1001970,297.15
1002000,297.15
1002030,297.15
1002060,297.15
1002090,297.15
1002120,297.15
1002150,297.15
1002180,297.15
1002210,297.15
1002240,297.15
1002270,297.15
1002300,297.15
1002330,297.15
1002360,297.15
1002390,297.15
1002420,297.15
1002450,297.15
1002480,297.15
1002510,297.15
1002540,297.15
1002570,297.15
1002600,297.15
1002630,297.15
1002660,297.15
1002690,297.15
1002720,297.15
1002750,297.15
1002780,297.15
1002810,297.15
1002840,297.15
1002870,297.15
1002900,297.15
1002930,297.15
1002960,297.15
1002990,297.15
1003020,297.15
1003050,297.15
1003080,297.15
1003110,297.15
1003140,297.15
1003170,297.15
1003200,297.15
1003230,297.15
1003260,297.15
1003290,297.15
1003320,297.15
1003350,297.15
1003380,297.15
1003410,297.15
1003440,297.15
1003470,297.15
1003500,297.15
1003530,297.15
1003560,297.15
1003590,297.15
1003620,297.15
1003650,297.15
1003680,297.15
1003710,297.15
1003740,297.15
1003770,297.15
1003800,297.15
1003830,297.15
1003860,297.15
1003890,297.15
1003920,297.15
1003950,297.15
1003980,297.15
1004010,297.15
1004040,297.15
1004070,297.15
1004100,297.15
1004130,297.15
1004160,297.15
1004190,297.15
1004220,297.15
1004250,297.15
1004280,297.15
1004310,297.15
1004340,297.15
1004370,297.15
1004400,297.15
1004430,297.15
1004460,297.15
1004490,297.15
1004520,297.15
1004550,297.15
1004580,297.15
1004610,297.15
1004640,297.15
1004670,297.15
1004700,297.15
1004730,297.15
1004760,297.15
1004790,297.15
1004820,297.15
1004850,297.15
1004880,297.15
1004910,297.15
1004940,297.15
1004970,297.15
1005000,297.15
1005030,297.15
1005060,297.15
1005090,297.15
1005120,297.15
1005150,297.15
1005180,297.15
1005210,297.15
1005240,297.15
1005270,297.15
1005300,297.15
1005330,297.15
1005360,297.15
1005390,297.15
1005420,297.15
1005450,297.15
1005480,297.15
1005510,297.15
1005540,297.15
1005570,297.15
1005600,297.15
1005630,297.15
1005660,297.15
1005690,297.15
1005720,297.15
1005750,297.15
1005780,297.15
1005810,297.15
1005840,297.15
1005870,297.15
1005900,297.15
1005930,297.15
1005960,297.15
1005990,297.15
1006020,297.15
1006050,297.15
1006080,297.15
1006110,297.15
1006140,297.15
1006170,297.15
1006200,297.15
1006230,297.15
1006260,297.15
1006290,297.15
1006320,297.15
1006350,297.15
1006380,297.15
1006410,297.15
1006440,297.15
1006470,297.15
1006500,297.15
1006530,297.15
1006560,297.15
1006590,297.15
1006620,297.15
1006650,297.15
1006680,297.15
1006710,297.15
1006740,297.15
1006770,297.15
1006800,297.15
1006830,297.15
1006860,297.15
1006890,297.15
1006920,297.15
1006950,297.15
1006980,297.15
1007010,297.15
1007040,297.15
1007070,297.15
1007100,297.15
1007130,297.15
1007160,297.15
1007190,297.15
1007220,297.15
1007250,297.15
1007280,297.15
1007310,297.15
1007340,297.15
1007370,297.15
1007400,297.15
1007430,297.15
1007460,297.15
1007490,297.15
1007520,297.15
1007550,297.15
1007580,297.15
1007610,297.15
1007640,297.15
1007670,297.15
1007700,297.15
1007730,297.15
1007760,297.15
1007790,297.15
1007820,297.15
1007850,297.15
1007880,297.15
1007910,297.15
1007940,297.15
1007970,297.15
1008000,297.15
1008030,297.15
1008060,297.15
1008090,297.15
1008120,297.15
1008150,297.15
1008180,297.15
1008210,297.15
1008240,297.15
1008270,297.15
1008300,297.15
1008330,297.15
1008360,297.15
1008390,297.15
1008420,297.15
1008450,297.15
1008480,297.15
1008510,297.15
1008540,297.15
1008570,297.15
1008600,297.15
1008630,297.15
1008660,297.15
1008690,297.15
1008720,297.15
1008750,297.15
1008780,297.15
1008810,297.15
1008840,297.15
1008870,297.15
