time,hvac_reaZonNor_V_flow_y
952620,1.2463504592629701e-08
952650,1.293340257102363e-08
952680,1.3412353651302188e-08
952710,1.3900357836173505e-08
952740,1.4398277326599338e-08
952770,1.4905681026541005e-08
952800,1.5421706741040915e-08
952830,1.5949372166860996e-08
952860,1.648479741591503e-08
952890,1.7030569086253974e-08
952920,1.7587118280819187e-08
952950,1.815315170639119e-08
952980,1.872866936714089e-08
953010,1.931453346563867e-08
953040,1.9909450709111953e-08
953070,2.0514283300510966e-08
953100,2.1130755641351855e-08
953130,2.1755850042827354e-08
953160,2.239301530352547e-08
953190,2.303880263572936e-08
953220,2.3694936441867212e-08
953250,2.4362278926390944e-08
953280,2.503996789717677e-08
953310,2.572800336069633e-08
953340,2.642595422437996e-08
953370,2.7135544892268235e-08
953400,2.7855482073785108e-08
953430,2.8585765776353434e-08
953460,2.9327689305716643e-08
953490,3.007995937186863e-08
953520,3.084300708240435e-08
953550,3.161769464471842e-08
953580,3.2404022067775206e-08
953610,3.320112716185096e-08
953640,3.4009441035837476e-08
953670,3.4829825898586346e-08
953700,3.566141956117825e-08
953730,3.650379093436323e-08
953760,3.735952662660405e-08
953790,3.822647115099981e-08
953820,3.910548671831858e-08
953850,3.999614224068461e-08
953880,4.0900162129399544e-08
953910,4.181582199805917e-08
953940,4.2743121859494354e-08
953970,4.368421722650314e-08
954000,4.463738371344341e-08
954030,4.511418497426712e-08
954060,4.520558292137848e-08
954090,4.542415544850507e-08
954120,4.566816296251589e-08
954150,4.591087726016408e-08
954180,4.615143614082052e-08
954210,4.6389408503769765e-08
954240,4.662738095043971e-08
954270,4.6863629079569196e-08
954300,4.709815289084123e-08
954330,4.733181458487886e-08
954360,4.756375196058071e-08
954390,4.779482721874005e-08
954420,4.802331595679767e-08
954450,4.82522358787789e-08
954480,4.847900038071334e-08
954510,4.870360946205415e-08
954540,4.8927787525519154e-08
954570,4.914937906678665e-08
954600,4.9370970690641565e-08
954630,4.959040689238995e-08
954660,4.980768767142222e-08
954690,5.002453743140787e-08
954720,5.0239662868954064e-08
954750,5.0453495084745273e-08
954780,5.0665171875976674e-08
954810,5.087684874838006e-08
954840,5.1085507992724166e-08
954870,5.129287401354001e-08
954900,5.149894681043435e-08
954930,5.170415748449598e-08
954960,5.19067816292882e-08
954990,5.210854365030235e-08
955020,5.2308581343957446e-08
955050,5.250732581135345e-08
955080,5.2703052644985065e-08
955110,5.289877955644883e-08
955140,5.3092782138272306e-08
955170,5.3283767084021914e-08
955200,5.347518320839507e-08
955230,5.366358169524427e-08
955260,5.3851118053851524e-08
955290,5.403649897740519e-08
955320,5.4219724465028576e-08
955350,5.440208782262043e-08
955380,5.458272684515092e-08
955410,5.476077932712685e-08
955440,5.4937969677165584e-08
955470,5.511386679239562e-08
955500,5.5287177364557194e-08
955530,5.5458763597728454e-08
955560,5.562862549111432e-08
955590,5.579719414663052e-08
955620,5.5963607358075854e-08
955650,5.612872733012528e-08
955680,5.6291260753427006e-08
955710,5.6453363141559543e-08
955740,5.661158567007873e-08
955770,5.676937716182066e-08
955800,5.6925444307040666e-08
955830,5.707935600165845e-08
955860,5.7231112244597414e-08
955890,5.73807130347701e-08
955920,5.752945168119433e-08
955950,5.7676034873006224e-08
955980,5.7820462609087945e-08
956010,5.79618726812055e-08
956040,5.810328281315091e-08
956070,5.8241675278966296e-08
956100,5.8377912284598954e-08
956130,5.8512856036472646e-08
956160,5.864521322220428e-08
956190,5.8775846048259855e-08
956220,5.890432340964639e-08
956250,5.9031076409198995e-08
956280,5.9155242837680354e-08
956310,5.9277684902010383e-08
956340,5.939840260114053e-08
956370,5.9516964829724826e-08
956400,5.963250937780921e-08
956430,5.974719176582691e-08
956460,5.985885647069031e-08
956490,5.996965901343866e-08
956520,6.007701276574323e-08
956550,6.018264214440035e-08
956580,6.028568493884256e-08
956610,6.038743446193832e-08
956640,6.048659739818979e-08
956670,6.058360485099693e-08
956700,6.067802571404721e-08
956730,6.077072219589276e-08
956760,6.086083208516439e-08
956790,6.094921759065253e-08
956820,6.103544760595235e-08
956850,6.111779770851268e-08
956880,6.119971673906447e-08
956910,6.127861806445229e-08
956940,6.135450168290402e-08
956970,6.142866090929034e-08
957000,6.150109574239953e-08
957030,6.157008175830408e-08
957060,6.163777448372164e-08
957090,6.170288060019907e-08
957120,6.176496900024934e-08
957150,6.182533299985704e-08
957180,6.188181706779103e-08
957210,6.193743894427074e-08
957240,6.199004309776281e-08
957270,6.204049173887759e-08
957300,6.208792265362708e-08
957330,6.213319805279596e-08
957360,6.21758868285384e-08
957390,6.22164200856403e-08
957420,6.225479782262992e-08
957450,6.228929561173444e-08
957480,6.232206898389812e-08
957510,6.235225572442628e-08
957540,6.237985583164183e-08
957570,6.240400709020324e-08
957600,6.24268650325185e-08
957630,6.479063409609659e-08
957660,6.901678698954367e-08
957690,7.261352572510608e-08
957720,7.603351262513082e-08
957750,7.943323963519592e-08
957780,8.281788013739578e-08
957810,8.618743422744925e-08
957840,8.954319532251625e-08
957870,9.288645683993544e-08
957900,9.622023662856589e-08
957930,9.95471214318666e-08
957960,1.0286754245570891e-07
957990,1.0618451755498758e-07
958020,1.0950106458826661e-07
958050,1.1281545922548743e-07
958080,1.1613244376290696e-07
958110,1.1945288052525285e-07
958140,1.2277633851278072e-07
958170,1.261066978154733e-07
958200,1.294435274386009e-07
958230,1.3278725860638884e-07
958260,1.3614004698247445e-07
958290,1.39502754906109e-07
958320,1.4287538249954482e-07
958350,1.4625792988620768e-07
958380,1.4965169052102715e-07
958410,1.5305580231062023e-07
958440,1.564702653821026e-07
958470,1.5989507986341643e-07
958500,1.6332809032865413e-07
958530,1.667701591260462e-07
958560,1.7021913082638352e-07
958590,1.7367284999607083e-07
958620,1.771287300848328e-07
958650,1.8058461564795655e-07
958680,1.8403921345895284e-07
958710,1.8748735027437678e-07
958740,1.9092342172387334e-07
958770,1.9434570343700695e-07
958800,1.9774643545034385e-07
958830,2.0112087557069757e-07
958860,2.0446169490477102e-07
958890,2.077615645336081e-07
958920,2.110127243967885e-07
958950,2.1420482771703876e-07
958980,2.173283899083197e-07
959010,2.2037392634642815e-07
959040,2.233280723298042e-07
959070,2.2617789421996965e-07
959100,2.288768313219896e-07
959130,2.314804972298453e-07
959160,2.3394190004160483e-07
959190,2.362321545786308e-07
959220,2.3804128724433816e-07
959250,2.402259271037945e-07
959280,2.4204325910292385e-07
959310,2.4357131466992313e-07
959340,2.447984528286395e-07
959370,2.4582900344939223e-07
959400,2.466612414349893e-07
959430,2.4769481395584323e-07
959460,2.4876287824209543e-07
959490,2.493364500488703e-07
959520,2.4955391759275114e-07
959550,2.4943942256518227e-07
959580,2.4899253284491085e-07
959610,2.482175586486902e-07
959640,2.4711881021729696e-07
959670,2.45703615672177e-07
959700,2.4397930317594495e-07
959730,2.419544943028932e-07
959760,2.396330683262051e-07
959790,2.3702278466456334e-07
959820,2.3413830076378036e-07
959850,2.309929807752136e-07
959880,2.276036379148687e-07
959910,2.2398449873784279e-07
959940,2.20157550115429e-07
959970,2.1613874326984958e-07
960000,2.119509275016064e-07
960030,2.0761522770471556e-07
960060,2.0315406223653907e-07
960090,1.9859157404346166e-07
960120,1.9394931940233255e-07
960150,1.8925359705295666e-07
960180,1.8452811905727621e-07
960210,1.797957352932134e-07
960240,1.750818824611125e-07
960270,1.7040811717919673e-07
960300,1.6579599611325757e-07
960330,1.6126707597115402e-07
960360,1.5684118898732674e-07
960390,1.5253601178599556e-07
960420,1.4836792762861644e-07
960450,1.443515952791064e-07
960480,1.4050124238195791e-07
960510,1.3682549191799026e-07
960540,1.333351225059318e-07
960570,1.3003746373179626e-07
960600,1.2693898291489517e-07
960630,1.2404011155845398e-07
960660,1.2134559243821364e-07
960690,1.188554258958224e-07
960720,1.1656745660834448e-07
960750,1.1447866697442904e-07
960780,1.1258560824374779e-07
960810,1.1088095148002362e-07
960840,1.0935995450413718e-07
960870,1.0801313269022667e-07
960900,1.068314325210664e-07
960930,1.0580450706928851e-07
960960,1.0492071599684661e-07
960990,1.0416885007574895e-07
961020,1.0353381988497984e-07
961050,1.030022605036119e-07
961080,1.0255951359887771e-07
961110,1.0218747177128408e-07
961140,1.0186975212098441e-07
961170,1.0158910946422366e-07
961200,1.0132269389082072e-07
961230,9.825392504643764e-08
961260,9.299716249995724e-08
961290,8.850220551363021e-08
961320,8.416417739525704e-08
961350,7.979682962333369e-08
961380,7.53816237084525e-08
961410,7.090691925680865e-08
961440,6.635805795099534e-08
961470,6.172038147331748e-08
961500,5.698095603636233e-08
961530,5.2125123333305534e-08
961560,4.714210525417817e-08
961590,4.202069257256679e-08
961620,3.675096947618588e-08
961650,3.1327331493182164e-08
961680,2.5737276068029593e-08
961710,1.9977785573636887e-08
961740,1.4044549018361017e-08
961770,7.934548838979692e-09
961800,1.6469231657195645e-09
961830,-4.817896440500182e-09
961860,-1.1457753856184514e-08
961890,-1.8266181606680004e-08
961920,-2.5237143316274074e-08
961950,-3.2362878052262427e-08
961980,-3.962915788432488e-08
962010,-4.7025203912458534e-08
962040,-5.453463251435529e-08
962070,-6.213976666739426e-08
962100,-6.98207736951872e-08
962130,-7.755566527816186e-08
962160,-8.53220219874052e-08
962190,-9.309526877284384e-08
962220,-1.0084867497678877e-07
962250,-1.085563722582459e-07
962280,-1.1618818104383175e-07
962310,-1.237195265283457e-07
962340,-1.3112022930802605e-07
962370,-1.383609723412495e-07
962400,-1.4541502547129818e-07
962430,-1.522560897845033e-07
962460,-1.5885614197456677e-07
962490,-1.6519060789144523e-07
962520,-1.7123534464137934e-07
962550,-1.7696750284461056e-07
962580,-1.8236725114291698e-07
962610,-1.8741518942866187e-07
962640,-1.9210485151201651e-07
962670,-1.964189931277633e-07
962700,-2.0034166350183388e-07
962730,-2.0386079209800885e-07
962760,-2.069651707221053e-07
962790,-2.0964316013883928e-07
962820,-2.11888294688846e-07
962850,-2.1369497101898564e-07
962880,-2.150584480721206e-07
962910,-2.159761404474821e-07
962940,-2.164480495079246e-07
962970,-2.1647633223895707e-07
963000,-2.1606357674184145e-07
963030,-2.1578447012352068e-07
963060,-2.1557175702394238e-07
963090,-2.1486239267694373e-07
963120,-2.1380899541561566e-07
963150,-2.124533849845582e-07
963180,-2.1081280709615366e-07
963210,-2.0890623186216783e-07
963240,-2.0675478490618548e-07
963270,-2.0437441832159695e-07
963300,-2.0178668867433975e-07
963330,-1.9900711677034878e-07
963360,-1.96054672290414e-07
963390,-1.929444447671488e-07
963420,-1.8969281701805318e-07
963450,-1.8631272284775402e-07
963480,-1.8281623376729828e-07
963510,-1.7921800793705027e-07
963540,-1.7552623670528433e-07
963570,-1.7175299143114134e-07
963600,-1.6790517003055256e-07
963630,-1.6399268820067964e-07
963660,-1.6002028821143693e-07
963690,-1.5599702346595716e-07
963720,-1.5192548060583928e-07
963750,-1.4781169517867017e-07
963780,-1.4365868490646496e-07
963810,-1.3947205418545075e-07
963840,-1.3525180290626733e-07
963870,-1.310035354385936e-07
963900,-1.267255271979998e-07
963930,-1.22421226964323e-07
963960,-1.1809063459796313e-07
963990,-1.1373547440905342e-07
964020,-1.0935445290857524e-07
964050,-1.0494800105837801e-07
964080,-1.0051698092903592e-07
964110,-9.605880568490018e-08
964140,-9.157390627864741e-08
964170,-8.706012698458381e-08
964200,-8.251617430094478e-08
964230,-7.794118583601027e-08
964260,-7.333257474737326e-08
964290,-6.868861641521878e-08
964320,-6.400844844058077e-08
964350,-5.9286466193071e-08
964380,-5.452266949211535e-08
964410,-4.971317814886326e-08
964440,-4.485626752824079e-08
964470,-3.9944177433293494e-08
964500,-3.498423655423396e-08
964530,-2.996049357206284e-08
964560,-2.4875534941844006e-08
964590,-1.9724618221615874e-08
964620,-1.4502569850784882e-08
964650,-9.206802924886216e-09
964680,-3.830850531147542e-09
964710,1.630892032814699e-09
964740,7.1823050394895584e-09
964770,1.2828562108572881e-08
964800,1.857656131910112e-08
964830,2.1743069669962477e-08
964860,2.269884235185278e-08
964890,2.4267654653338226e-08
964920,2.5983475908087096e-08
964950,2.766955074054504e-08
964980,2.9317256957816515e-08
965010,3.09339234631438e-08
965040,3.2518688053794574e-08
965070,3.407241296855223e-08
965100,3.5594236001361265e-08
965130,3.7085450498764924e-08
965160,3.854562536247399e-08
965190,3.9974760603527103e-08
965220,4.137414956436677e-08
965250,4.274163669848386e-08
965280,4.407851534550158e-08
965310,4.538435439985158e-08
965340,4.6659584976681645e-08
965370,4.7905069301127767e-08
965400,4.911778959680917e-08
965430,5.0300763641997514e-08
965460,5.1453129213589425e-08
965490,5.25735929756545e-08
965520,5.366344825868947e-08
965550,5.4723126169830477e-08
965580,5.5750902258059284e-08
965610,5.674677651651674e-08
965640,5.77129044950976e-08
965670,5.8647130627629375e-08
965700,5.9549454904231956e-08
965730,6.042160176097844e-08
965760,6.126055340432275e-08
965790,6.206932760400757e-08
965820,6.284533767583902e-08
965850,6.358987694103329e-08
965880,6.430122093656019e-08
965910,6.498109409433785e-08
965940,6.562949639794612e-08
965970,6.624513449361745e-08
966000,6.682757725070246e-08
966030,6.737725576234189e-08
966060,6.789417000891308e-08
966090,6.837788885773294e-08
966120,6.882927451295934e-08
966150,6.924660250306294e-08
966180,6.96298728056961e-08
966210,6.998037873634291e-08
966240,7.029725804676763e-08
966270,7.057964848780251e-08
966300,7.08275500353191e-08
966330,7.104096266488573e-08
966360,7.122031746491907e-08
966390,7.136475218433948e-08
966420,7.147426679782018e-08
966450,7.154843016655579e-08
966480,7.158853560494288e-08
966510,7.159156529345253e-08
966540,7.1560537000123e-08
966570,7.14928640180186e-08
966600,7.138854632065729e-08
966630,7.125017056419422e-08
966660,7.107342558538703e-08
966690,7.08617602685093e-08
966720,7.061345013269899e-08
966750,7.032763292431833e-08
966780,7.000473973181347e-08
966810,6.964477053009827e-08
966840,6.924815640874092e-08
966870,6.881403511510502e-08
966900,6.834283773965161e-08
966930,6.783283980144491e-08
966960,6.728490350615281e-08
966990,6.669902883147691e-08
967020,6.607650909972873e-08
967050,6.541475760243692e-08
967080,6.471377431899557e-08
967110,6.397571480376507e-08
967140,6.31988545792967e-08
967170,6.238190028308335e-08
967200,6.152786970288642e-08
967230,6.063460724851334e-08
967260,5.970211290528615e-08
967290,5.873038665969744e-08
967320,5.771942849946145e-08
967350,5.666923841356502e-08
967380,5.5579385277012707e-08
967410,5.445116242740876e-08
967440,5.3283276511946035e-08
967470,5.207529640963594e-08
967500,5.082808434731075e-08
967530,4.9542071438198295e-08
967560,4.8216395450624456e-08
967590,4.685105638548846e-08
967620,4.5446485361061467e-08
967650,4.4002251266207735e-08
967680,4.251706076011419e-08
967710,4.0995656123615924e-08
967740,3.943200174699327e-08
967770,3.783170214688363e-08
967800,3.6189583948366613e-08
967830,3.450995832542012e-08
967860,3.2791531949140347e-08
967890,3.1033442608401345e-08
967920,2.9236552557583788e-08
967950,2.740129293754678e-08
967980,2.552680154385732e-08
968010,2.3614802869579882e-08
968040,2.1664434714952023e-08
968070,1.9676559346058242e-08
968100,1.7649883452057505e-08
968130,1.5586131535626737e-08
968160,1.348530363841682e-08
968190,1.1346106457074437e-08
968220,9.170695617490885e-09
968250,6.959071168800913e-09
968280,4.711233162693004e-09
968310,2.4263194219461474e-09
968340,1.0691669792475368e-10
968370,-2.2478371815861836e-09
968400,-4.63794215463015e-09
968430,-6.3494707160685655e-09
968460,-7.452263751140247e-09
968490,-8.695169091218707e-09
968520,-9.965234423359199e-09
968550,-1.1213312564396296e-08
968580,-1.2436816814866223e-08
968610,-1.3637902746169408e-08
968640,-1.4815708122596422e-08
968670,-1.5970232940215486e-08
968700,-1.7101908311163913e-08
968730,-1.8209440887700292e-08
968760,-1.929498624419332e-08
968790,-2.0357682149583524e-08
968820,-2.13966663740731e-08
968850,-2.241280114871537e-08
968880,-2.3406086475180734e-08
968910,-2.4376091241117486e-08
968940,-2.5321522105755362e-08
968970,-2.624453464693395e-08
969000,-2.714512886901417e-08
969030,-2.802201143351933e-08
969060,-2.8876044575612238e-08
969090,-2.970722830181616e-08
969120,-3.0514269276407544e-08
969150,-3.129932307885384e-08
969180,-3.206109637461375e-08
969210,-3.280002028685628e-08
969240,-3.3515232597026674e-08
969270,-3.4207595543356314e-08
969300,-3.487883359163448e-08
969330,-3.5525497841817506e-08
969360,-3.6149312760959334e-08
969390,-3.675157170169955e-08
969420,-3.7330119108027074e-08
969450,-3.788624833341927e-08
969480,-3.842039050406656e-08
969510,-3.893168340640221e-08
969540,-3.942098928060607e-08
969570,-3.988744591413518e-08
969600,-4.0331915547488384e-08
969630,-4.075310485615536e-08
969660,-4.115360053249542e-08
969690,-4.153210925228526e-08
969720,-4.188733769258572e-08
969750,-4.2221010319783903e-08
969780,-4.253355826160981e-08
969810,-4.282411930842932e-08
969840,-4.309269347611943e-08
969870,-4.3339711892944926e-08
969900,-4.356560568696142e-08
969930,-4.3769943761905646e-08
969960,-4.3953588357853625e-08
969990,-4.411481504306486e-08
970020,-4.4255779393305325e-08
970050,-4.4374756977433835e-08
970080,-4.44739033701673e-08
970110,-4.4551494140903784e-08
970140,-4.460882264041717e-08
970170,-4.4644595550453804e-08
970200,-4.466139955495554e-08
970230,-4.466958133646309e-08
970260,-4.462775424149389e-08
970290,0.31123414933519844
970320,0.417043234849397
970350,0.44687402134197485
970380,0.4525821959280839
970410,0.4514805049101748
970440,0.4485178347285932
970470,0.4450533164482684
970500,0.44145632923801403
970530,0.43782795233338495
970560,0.4341960041243785
970590,0.4305682937765465
970620,0.426947241989006
970650,0.4233337375240979
970680,0.420233823793097
970710,0.41352971578530134
970740,0.4070629188551569
970770,0.40098407396717534
970800,0.3962346897434818
970830,0.3923170690582177
970860,0.3901774227496631
970890,0.3866522916409649
970920,0.3827964682788412
970950,0.37917511171914536
970980,0.3757211067587136
971010,0.37234568220273373
971040,0.36900844652574194
971070,0.3656949743531085
971100,0.36240162252819313
971130,0.3591282670159207
971160,0.3558221857780981
971190,0.3511154641802963
971220,0.3482110621935652
971250,0.3454602379752393
971280,0.34252715661755806
971310,0.3394975039534868
971340,0.33644978923108243
971370,0.33342146220792374
971400,0.33042858370673767
971430,0.32747922334336593
971460,0.32457916967075645
971490,0.32173466494864406
971520,0.3189611658897966
971550,0.3162505752781511
971580,0.31360785464978064
971610,0.306153180906185
971640,0.30066870251943706
971670,0.3008470130909394
971700,0.3005259482527089
971730,0.2992466856901969
971760,0.2975326191299469
971790,0.2961388327942893
971820,0.29580055764342944
971850,0.29568186404274355
971880,0.2956405442197891
971910,0.2956260653088689
971940,0.29562096420444345
971970,0.2956191199679548
972000,0.29561840823923574
972030,0.2956180904103337
972060,0.29561791266642184
972090,0.2956177830638042
972120,0.29561767110605547
972150,0.2956175662879514
972180,0.29561746430305197
972210,0.29561736420143847
972240,0.29561726519206405
972270,0.2956171673396973
972300,0.2956170706968915
972330,0.2956169749461791
972360,0.29561688023492677
972390,0.2956167865660876
972420,0.2956166938878293
972450,0.295616602225222
972480,0.2956165115782716
972510,0.2956164219468454
972540,0.29561633333065124
972570,0.295616245729231
972600,0.29561615914200134
972630,0.2956160735682614
972660,0.2956159890072197
972690,0.2956159054579254
972720,0.2956158229193443
972750,0.2956157413902897
972780,0.2956156608694983
972810,0.29561558135554067
972840,0.2956155028469037
972870,0.29561542534193574
972900,0.2956153488389018
972930,0.2956152733358933
972960,0.2956151988309257
972990,0.2956151253218546
973020,0.2956150528064938
973050,0.2956149812824217
973080,0.2956149107471884
973110,0.2956148411981985
973140,0.29561477263272473
973170,0.295614705047929
973200,0.29561463844084124
973230,0.2956145728083802
973260,0.29556555249315897
973290,0.29551499003315873
973320,0.2954757425835616
973350,0.2954450122251412
973380,0.2954204789781828
973410,0.29540052024671365
973440,0.29538405233266896
973470,0.2953703505435312
973500,0.2953589142226612
973530,0.29534937052004706
973560,0.2953414302854752
973590,0.2953348558902032
973620,0.2953294470616697
973650,0.29532503436034796
973680,0.29532146356443206
973710,0.295318612630067
973740,0.2953163760315322
973770,0.29531465228969694
973800,0.2953133647864949
973830,0.2953124416537812
973860,0.2953118113558313
973890,0.2953114323274014
973920,0.29531125114237017
973950,0.2953112317916965
973980,0.29531134595377156
974010,0.29531155554187916
974040,0.2953118423321959
974070,0.2953121805373168
974100,0.29531255989883176
974130,0.29531295884935055
974160,0.2953133733182495
974190,0.2953137866992635
974220,0.29531420049252205
974250,0.2953146002377481
974280,0.2953149904050368
974310,0.29531536094387284
974340,0.29531571706717197
974370,0.29531605161307584
974400,0.29531637084344425
974430,0.29531666898820186
974460,0.29531695338046976
974490,0.2953172188073249
974520,0.29531747329549524
974550,0.295317711988599
974580,0.2953179429509807
974610,0.29531816179343184
974640,0.29531837606892264
974670,0.2953185818864532
974700,0.295318786055793
974730,0.29531898505260645
974760,0.2953191849548517
974790,0.2953193824073281
974820,0.2953195828629931
974850,0.295319782995076
974880,0.2953199877499491
974910,0.2953201936327932
974940,0.2953204053419242
974970,0.2953206191161405
975000,0.29532083943678494
975030,0.2953210622215174
975060,0.2953212920022162
975090,0.29532152417950064
975120,0.29532176356447787
975150,0.2953220049042628
975180,0.2953222534961173
975210,0.29532250333411547
975240,0.2953227603096064
975270,0.2953230177192826
975300,0.29532328195069535
975330,0.2953235458597695
975360,0.29532381606151387
975390,0.2953240853153972
975420,0.29532436018191593
975450,0.2953246335992057
975480,0.29532491189596066
975510,0.2953251883339008
975540,0.29532546894168593
975570,0.2953257473551823
975600,0.29532602931414204
975630,0.2953263063239366
975660,0.29532658010655516
975690,0.295326844568858
975720,0.29532710513730226
975750,0.29532735651826086
975780,0.2953276039119538
975810,0.29532784246282984
975840,0.29532807700985914
975870,0.29532830302667373
975900,0.29532852506795765
975930,0.29532873887638683
975960,0.295328948786981
975990,0.2953291507483443
976020,0.2953293489440588
976050,0.2953295394543972
976080,0.2953297263880916
976110,0.2953299058716823
976140,0.29533008202532574
976170,0.2953302509256917
976200,0.29533041680211
976230,0.2953305755726303
976260,0.2953307316879435
976290,0.2953308807829497
976320,0.29533102765951796
976350,0.2953311675264216
976380,0.2953313056858107
976410,0.29533143676008605
976440,0.29533156671459165
976470,0.29533168942579974
976500,0.29533181165930666
976530,0.2953319264147302
976560,0.29533204139694946
976590,0.29533214861048307
976620,0.29533225673963454
976650,0.2953323568848276
976680,0.2953324584314998
976710,0.2953325520575351
976740,0.29533264719795804
976770,0.2953327348770826
976800,0.2953328237499972
976830,0.29533290603449125
976860,0.29533298876965197
976890,0.2953330661788667
976920,0.29533314290526597
976950,0.29533321592760886
976980,0.29533328677496495
977010,0.29533335587155013
977040,0.2953334209767772
977070,0.29533348658399966
977100,0.29533354609750595
977130,0.29533360861997104
977160,0.29533366270680467
977190,0.295333722507914
977220,0.2953337713344123
977250,0.29533382867020136
977280,0.2953338724878969
977310,0.29533392762945143
977340,0.2953339665497379
977370,0.29533401975902457
977400,0.29533405400525753
977430,0.2953341055385872
977460,0.295334135377874
977490,0.29533418550357904
977520,0.29533421122606623
977550,0.295334260205599
977580,0.2953342821083589
977610,0.2953343301956714
977640,0.2953343485813293
977670,0.2953343960198972
977700,0.2953344111904496
977730,0.29533445821477566
977760,0.29533447047130373
977790,0.29533451730991583
977820,0.29533452695240564
977850,0.29533457382979406
977880,0.2953345811571564
977910,0.2953346282953383
977940,0.29533463360593915
977970,0.29533468122582274
978000,0.29533468487743353
978030,0.2953347330390522
978060,0.2953347354016744
978090,0.29533478446928646
978120,0.29533478569955307
978150,0.2953348359191604
978180,0.2953348363252677
978210,0.29533488792329043
978240,0.29533488780886286
978270,0.29533494101633667
978300,0.2953349406869254
978330,0.29533499573987765
978360,0.2953349955065542
978390,0.2953350526471744
978420,0.2953350528288394
978450,0.2953351123072666
978480,0.2953351132335063
978510,0.29533517531033027
978540,0.2953351773248358
978570,0.2953352422741946
978600,0.29533524573885406
978630,0.2953353138522592
978660,0.29533531915167416
978690,0.2953353907424056
978720,0.2953353982890045
978750,0.29533547369728097
978780,0.29533548403405985
978810,0.29533556344494616
978840,0.29533557704921515
978870,0.2953356610719218
978900,0.2953356783598019
978930,0.2953357674593588
978960,0.2953357890143872
978990,0.2953358836859603
979020,0.2953359101341014
979050,0.2953360109420457
979080,0.29533604298524097
979110,0.29533615058799895
979140,0.29533618902680975
979170,0.2953363041908639
979200,0.2953363499363892
979230,0.29533647583270994
979260,0.29533653633241186
979290,0.29533665383046837
979320,0.29533673338223027
979350,0.2953368070919626
979380,0.2953368497571368
979410,0.2953368643829342
979440,0.2953368488098306
979470,0.2953368009732524
979500,0.29533672076328454
979530,0.29533660797150885
979560,0.29533646366714994
979590,0.2953362892392134
979620,0.29533608618634566
979650,0.2953358562134786
979680,0.29533560118750135
979710,0.29533532306742877
979740,0.2953350238653127
979770,0.2953347056115769
979800,0.2953343703204569
979830,0.2953340199611677
979860,0.2953336564344293
979890,0.29533328155363076
979920,0.29533289702989113
979950,0.29533250446077264
979980,0.2953321053220245
980010,0.29533170096203276
980040,0.29533129259932006
980070,0.29533088131971924
980100,0.2953304680818716
980130,0.29533005371628557
980160,0.2953296389310994
980190,0.2953292243173351
980220,0.295328810370325
980250,0.29532839753765094
980280,0.2953279862015061
980310,0.29532757666538173
980340,0.29532716915714236
980370,0.295326763835449
980400,0.29532636079658836
980430,0.2953259600830281
980460,0.29532556168585716
980490,0.2953251655620045
980520,0.2953247716229374
980550,0.2953243797354574
980580,0.29532398971165985
980610,0.29532360128434754
980640,0.2953232141362343
980670,0.2953228278751887
980700,0.29532244210963693
980730,0.29532205656911725
980760,0.29532167127036624
980790,0.29532128639672983
980820,0.29532090222186963
980850,0.29532051907233514
