time,hvac_oveAhu_TSupSet_u
955800,285.15
955830,285.15
955860,285.15
955890,285.15
955920,285.15
955950,285.15
955980,285.15
956010,285.15
956040,285.15
956070,285.15
956100,285.15
956130,285.15
956160,285.15
956190,285.15
956220,285.15
956250,285.15
956280,285.15
956310,285.15
956340,285.15
956370,285.15
956400,285.15
956430,285.15
956460,285.15
956490,285.15
956520,285.15
956550,285.15
956580,285.15
956610,285.15
956640,285.15
956670,285.15
956700,285.15
956730,285.15
956760,285.15
956790,285.15
956820,285.15
956850,285.15
956880,285.15
956910,285.15
956940,285.15
956970,285.15
957000,285.15
957030,285.15
957060,285.15
957090,285.15
957120,285.15
957150,285.15
957180,285.15
957210,285.15
957240,285.15
957270,285.15
957300,285.15
957330,285.15
957360,285.15
957390,285.15
957420,285.15
957450,285.15
957480,285.15
957510,285.15
957540,285.15
957570,285.15
957600,285.15
957630,285.15
957660,285.15
957690,285.15
957720,285.15
957750,285.15
957780,285.15
957810,285.15
957840,285.15
957870,285.15
957900,285.15
957930,285.15
957960,285.15
957990,285.15
958020,285.15
958050,285.15
958080,285.15
958110,285.15
958140,285.15
958170,285.15
958200,285.15
958230,285.15
958260,285.15
958290,285.15
958320,285.15
958350,285.15
958380,285.15
958410,285.15
958440,285.15
958470,285.15
958500,285.15
958530,285.15
958560,285.15
958590,285.15
958620,285.15
958650,285.15
958680,285.15
958710,285.15
958740,285.15
958770,285.15
958800,285.15
958830,285.15
958860,285.15
958890,285.15
958920,285.15
958950,285.15
958980,285.15
959010,285.15
959040,285.15
959070,285.15
959100,285.15
959130,285.15
959160,285.15
959190,285.15
959220,285.15
959250,285.15
959280,285.15
959310,285.15
959340,285.15
959370,285.15
959400,285.15
959430,285.15
959460,285.15
959490,285.15
959520,285.15
959550,285.15
959580,285.15
959610,285.15
959640,285.15
959670,285.15
959700,285.15
959730,285.15
959760,285.15
959790,285.15
959820,285.15
959850,285.15
959880,285.15
959910,285.15
959940,285.15
959970,285.15
960000,285.15
960030,285.15
960060,285.15
960090,285.15
960120,285.15
960150,285.15
960180,285.15
960210,285.15
960240,285.15
960270,285.15
960300,285.15
960330,285.15
960360,285.15
960390,285.15
960420,285.15
960450,285.15
960480,285.15
960510,285.15
960540,285.15
960570,285.15
960600,285.15
960630,285.15
960660,285.15
960690,285.15
960720,285.15
960750,285.15
960780,285.15
960810,285.15
960840,285.15
960870,285.15
960900,285.15
960930,285.15
960960,285.15
960990,285.15
961020,285.15
961050,285.15
961080,285.15
961110,285.15
961140,285.15
961170,285.15
961200,285.15
961230,285.15
961260,285.15
961290,285.15
961320,285.15
961350,285.15
961380,285.15
961410,285.15
961440,285.15
961470,285.15
961500,285.15
961530,285.15
961560,285.15
961590,285.15
961620,285.15
961650,285.15
961680,285.15
961710,285.15
961740,285.15
961770,285.15
961800,285.15
961830,285.15
961860,285.15
961890,285.15
961920,285.15
961950,285.15
961980,285.15
962010,285.15
962040,285.15
962070,285.15
962100,285.15
962130,285.15
962160,285.15
962190,285.15
962220,285.15
962250,285.15
962280,285.15
962310,285.15
962340,285.15
962370,285.15
962400,285.15
962430,285.15
962460,285.15
962490,285.15
962520,285.15
962550,285.15
962580,285.15
962610,285.15
962640,285.15
962670,285.15
962700,285.15
962730,285.15
962760,285.15
962790,285.15
962820,285.15
962850,285.15
962880,285.15
962910,285.15
962940,285.15
962970,285.15
963000,285.15
963030,285.15
963060,285.15
963090,285.15
963120,285.15
963150,285.15
963180,285.15
963210,285.15
963240,285.15
963270,285.15
963300,285.15
963330,285.15
963360,285.15
963390,285.15
963420,285.15
963450,285.15
963480,285.15
963510,285.15
963540,285.15
963570,285.15
963600,285.15
963630,285.15
963660,285.15
963690,285.15
963720,285.15
963750,285.15
963780,285.15
963810,285.15
963840,285.15
963870,285.15
963900,285.15
963930,285.15
963960,285.15
963990,285.15
964020,285.15
964050,285.15
964080,285.15
964110,285.15
964140,285.15
964170,285.15
964200,285.15
964230,285.15
964260,285.15
964290,285.15
964320,285.15
964350,285.15
964380,285.15
964410,285.15
964440,285.15
964470,285.15
964500,285.15
964530,285.15
964560,285.15
964590,285.15
964620,285.15
964650,285.15
964680,285.15
964710,285.15
964740,285.15
964770,285.15
964800,285.15
964830,285.15
964860,285.15
964890,285.15
964920,285.15
964950,285.15
964980,285.15
965010,285.15
965040,285.15
965070,285.15
965100,285.15
965130,285.15
965160,285.15
965190,285.15
965220,285.15
965250,285.15
965280,285.15
965310,285.15
965340,285.15
965370,285.15
965400,285.15
965430,285.15
965460,285.15
965490,285.15
965520,285.15
965550,285.15
965580,285.15
965610,285.15
965640,285.15
965670,285.15
965700,285.15
965730,285.15
965760,285.15
965790,285.15
965820,285.15
965850,285.15
965880,285.15
965910,285.15
965940,285.15
965970,285.15
966000,285.15
966030,285.15
966060,285.15
966090,285.15
966120,285.15
966150,285.15
966180,285.15
966210,285.15
966240,285.15
966270,285.15
966300,285.15
966330,285.15
966360,285.15
966390,285.15
966420,285.15
966450,285.15
966480,285.15
966510,285.15
966540,285.15
966570,285.15
966600,285.15
966630,285.15
966660,285.15
966690,285.15
966720,285.15
966750,285.15
966780,285.15
966810,285.15
966840,285.15
966870,285.15
966900,285.15
966930,285.15
966960,285.15
966990,285.15
967020,285.15
967050,285.15
967080,285.15
967110,285.15
967140,285.15
967170,285.15
967200,285.15
967230,285.15
967260,285.15
967290,285.15
967320,285.15
967350,285.15
967380,285.15
967410,285.15
967440,285.15
967470,285.15
967500,285.15
967530,285.15
967560,285.15
967590,285.15
967620,285.15
967650,285.15
967680,285.15
967710,285.15
967740,285.15
967770,285.15
967800,285.15
967830,285.15
967860,285.15
967890,285.15
967920,285.15
967950,285.15
967980,285.15
968010,285.15
968040,285.15
968070,285.15
968100,285.15
968130,285.15
968160,285.15
968190,285.15
968220,285.15
968250,285.15
968280,285.15
968310,285.15
968340,285.15
968370,285.15
968400,285.15
968430,285.15
968460,285.15
968490,285.15
968520,285.15
968550,285.15
968580,285.15
968610,285.15
968640,285.15
968670,285.15
968700,285.15
968730,285.15
968760,285.15
968790,285.15
968820,285.15
968850,285.15
968880,285.15
968910,285.15
968940,285.15
968970,285.15
969000,285.15
969030,285.15
969060,285.15
969090,285.15
969120,285.15
969150,285.15
969180,285.15
969210,285.15
969240,285.15
969270,285.15
969300,285.15
969330,285.15
969360,285.15
969390,285.15
969420,285.15
969450,285.15
969480,285.15
969510,285.15
969540,285.15
969570,285.15
969600,285.15
969630,285.15
969660,285.15
969690,285.15
969720,285.15
969750,285.15
969780,285.15
969810,285.15
969840,285.15
969870,285.15
969900,285.15
969930,285.15
969960,285.15
969990,285.15
970020,285.15
970050,285.15
970080,285.15
970110,285.15
970140,285.15
970170,285.15
970200,285.15
970230,285.15
970260,285.15
970290,308.15
970320,308.15
970350,308.15
970380,308.15
970410,308.15
970440,308.15
970470,308.15
970500,308.15
970530,308.15
970560,308.15
970590,308.15
970620,308.15
970650,308.15
970680,308.15
970710,285.15
970740,285.15
970770,285.15
970800,285.15
970830,285.15
970860,285.15
970890,285.15
970920,285.15
970950,285.15
970980,285.15
971010,285.15
971040,285.15
971070,285.15
971100,285.15
971130,285.15
971160,285.15
971190,285.15
971220,285.15
971250,285.15
971280,285.15
971310,285.15
971340,285.15
971370,285.15
971400,285.15
971430,285.15
971460,285.15
971490,285.15
971520,285.15
971550,285.15
971580,285.15
971610,285.15
971640,285.15
971670,285.15
971700,285.15
971730,285.15
971760,285.15
971790,285.15
971820,285.15
971850,285.15
971880,285.15
971910,285.15
971940,285.15
971970,285.15
972000,285.15
972030,285.15
972060,285.15
972090,285.15
972120,285.15
972150,285.15
972180,285.15
972210,285.15
972240,285.15
972270,285.15
972300,285.15
972330,285.15
972360,285.15
972390,285.15
972420,285.15
972450,285.15
972480,285.15
972510,285.15
972540,285.15
972570,285.15
972600,285.15
972630,285.15
972660,285.15
972690,285.15
972720,285.15
972750,285.15
972780,285.15
972810,285.15
972840,285.15
972870,285.15
972900,285.15
972930,285.15
972960,285.15
972990,285.15
973020,285.15
973050,285.15
973080,285.15
973110,285.15
973140,285.15
973170,285.15
973200,285.15
973230,285.15
973260,285.15
973290,285.15
973320,285.15
973350,285.15
973380,285.15
973410,285.15
973440,285.15
973470,285.15
973500,285.15
973530,285.15
973560,285.15
973590,285.15
973620,285.15
973650,285.15
973680,285.15
973710,285.15
973740,285.15
973770,285.15
973800,285.15
973830,285.15
973860,285.15
973890,285.15
973920,285.15
973950,285.15
973980,285.15
974010,285.15
974040,285.15
974070,285.15
974100,285.15
974130,285.15
974160,285.15
974190,285.15
974220,285.15
974250,285.15
974280,285.15
974310,285.15
974340,285.15
974370,285.15
974400,285.15
974430,285.15
974460,285.15
974490,285.15
974520,285.15
974550,285.15
974580,285.15
974610,285.15
974640,285.15
974670,285.15
974700,285.15
974730,285.15
974760,285.15
974790,285.15
974820,285.15
974850,285.15
974880,285.15
974910,285.15
974940,285.15
974970,285.15
975000,285.15
975030,285.15
975060,285.15
975090,285.15
975120,285.15
975150,285.15
975180,285.15
975210,285.15
975240,285.15
975270,285.15
975300,285.15
975330,285.15
975360,285.15
975390,285.15
975420,285.15
975450,285.15
975480,285.15
975510,285.15
975540,285.15
975570,285.15
975600,285.15
975630,285.15
975660,285.15
975690,285.15
975720,285.15
975750,285.15
975780,285.15
975810,285.15
975840,285.15
975870,285.15
975900,285.15
975930,285.15
975960,285.15
975990,285.15
976020,285.15
976050,285.15
976080,285.15
976110,285.15
976140,285.15
976170,285.15
976200,285.15
976230,285.15
976260,285.15
976290,285.15
976320,285.15
976350,285.15
976380,285.15
976410,285.15
976440,285.15
976470,285.15
976500,285.15
976530,285.15
976560,285.15
976590,285.15
976620,285.15
976650,285.15
976680,285.15
976710,285.15
976740,285.15
976770,285.15
976800,285.15
976830,285.15
976860,285.15
976890,285.15
976920,285.15
976950,285.15
976980,285.15
977010,285.15
977040,285.15
977070,285.15
977100,285.15
977130,285.15
977160,285.15
977190,285.15
977220,285.15
977250,285.15
977280,285.15
977310,285.15
977340,285.15
977370,285.15
977400,285.15
977430,285.15
977460,285.15
977490,285.15
977520,285.15
977550,285.15
977580,285.15
977610,285.15
977640,285.15
977670,285.15
977700,285.15
977730,285.15
977760,285.15
977790,285.15
977820,285.15
977850,285.15
977880,285.15
977910,285.15
977940,285.15
977970,285.15
978000,285.15
978030,285.15
978060,285.15
978090,285.15
978120,285.15
978150,285.15
978180,285.15
978210,285.15
978240,285.15
978270,285.15
978300,285.15
978330,285.15
978360,285.15
978390,285.15
978420,285.15
978450,285.15
978480,285.15
978510,285.15
978540,285.15
978570,285.15
978600,285.15
978630,285.15
978660,285.15
978690,285.15
978720,285.15
978750,285.15
978780,285.15
978810,285.15
978840,285.15
978870,285.15
978900,285.15
978930,285.15
978960,285.15
978990,285.15
979020,285.15
979050,285.15
979080,285.15
979110,285.15
979140,285.15
979170,285.15
979200,285.15
979230,285.15
979260,285.15
979290,285.15
979320,285.15
979350,285.15
979380,285.15
979410,285.15
979440,285.15
979470,285.15
979500,285.15
979530,285.15
979560,285.15
979590,285.15
979620,285.15
979650,285.15
979680,285.15
979710,285.15
979740,285.15
979770,285.15
979800,285.15
979830,285.15
979860,285.15
979890,285.15
979920,285.15
979950,285.15
979980,285.15
980010,285.15
980040,285.15
980070,285.15
980100,285.15
980130,285.15
980160,285.15
980190,285.15
980220,285.15
980250,285.15
980280,285.15
980310,285.15
980340,285.15
980370,285.15
980400,285.15
980430,285.15
980460,285.15
980490,285.15
980520,285.15
980550,285.15
980580,285.15
980610,285.15
980640,285.15
980670,285.15
980700,285.15
980730,285.15
980760,285.15
980790,285.15
980820,285.15
980850,285.15
980880,285.15
980910,285.15
980940,285.15
980970,285.15
981000,285.15
981030,285.15
981060,285.15
981090,285.15
981120,285.15
981150,285.15
981180,285.15
981210,285.15
981240,285.15
981270,285.15
981300,285.15
981330,285.15
981360,285.15
981390,285.15
981420,285.15
981450,285.15
981480,285.15
981510,285.15
981540,285.15
981570,285.15
981600,285.15
981630,285.15
981660,285.15
981690,285.15
981720,285.15
981750,285.15
981780,285.15
981810,285.15
981840,285.15
981870,285.15
981900,285.15
981930,285.15
981960,285.15
981990,285.15
982020,285.15
982050,285.15
982080,285.15
982110,285.15
982140,285.15
982170,285.15
982200,285.15
982230,285.15
982260,285.15
982290,285.15
982320,285.15
982350,285.15
982380,285.15
982410,285.15
982440,285.15
982470,285.15
982500,285.15
982530,285.15
982560,285.15
982590,285.15
982620,285.15
982650,285.15
982680,285.15
982710,285.15
982740,285.15
982770,285.15
982800,285.15
982830,285.15
982860,285.15
982890,285.15
982920,285.15
982950,285.15
982980,285.15
983010,285.15
983040,285.15
983070,285.15
983100,285.15
983130,285.15
983160,285.15
983190,285.15
983220,285.15
983250,285.15
983280,285.15
983310,285.15
983340,285.15
983370,285.15
983400,285.15
983430,285.15
983460,285.15
983490,285.15
983520,285.15
983550,285.15
983580,285.15
983610,285.15
983640,285.15
983670,285.15
983700,285.15
983730,285.15
983760,285.15
983790,285.15
983820,285.15
983850,285.15
983880,285.15
983910,285.15
983940,285.15
983970,285.15
984000,285.15
984030,285.15
984060,285.15
984090,285.15
984120,285.15
984150,285.15
984180,285.15
984210,285.15
984240,285.15
984270,285.15
984300,285.15
984330,285.15
984360,285.15
984390,285.15
984420,285.15
984450,285.15
984480,285.15
984510,285.15
984540,285.15
984570,285.15
984600,285.15
984630,285.15
984660,285.15
984690,285.15
984720,285.15
984750,285.15
984780,285.15
984810,285.15
984840,285.15
984870,285.15
984900,285.15
984930,285.15
984960,285.15
984990,285.15
985020,285.15
985050,285.15
985080,285.15
985110,285.15
985140,285.15
985170,285.15
985200,285.15
985230,285.15
985260,285.15
985290,285.15
985320,285.15
985350,285.15
985380,285.15
985410,285.15
985440,285.15
985470,285.15
985500,285.15
985530,285.15
985560,285.15
985590,285.15
985620,285.15
985650,285.15
985680,285.15
985710,285.15
985740,285.15
985770,285.15
985800,285.15
985830,285.15
985860,285.15
985890,285.15
985920,285.15
985950,285.15
985980,285.15
986010,285.15
986040,285.15
986070,285.15
986100,285.15
986130,285.15
986160,285.15
986190,285.15
986220,285.15
986250,285.15
986280,285.15
986310,285.15
986340,285.15
986370,285.15
986400,285.15
986430,285.15
986460,285.15
986490,285.15
986520,285.15
986550,285.15
986580,285.15
986610,285.15
986640,285.15
986670,285.15
986700,285.15
986730,285.15
986760,285.15
986790,285.15
986820,285.15
986850,285.15
986880,285.15
986910,285.15
986940,285.15
986970,285.15
987000,285.15
987030,285.15
987060,285.15
987090,285.15
987120,285.15
987150,285.15
987180,285.15
987210,285.15
987240,285.15
987270,285.15
987300,285.15
987330,285.15
987360,285.15
987390,285.15
987420,285.15
987450,285.15
987480,285.15
987510,285.15
987540,285.15
987570,285.15
987600,285.15
987630,285.15
987660,285.15
987690,285.15
987720,285.15
987750,285.15
987780,285.15
987810,285.15
987840,285.15
987870,285.15
987900,285.15
987930,285.15
987960,285.15
987990,285.15
988020,285.15
988050,285.15
988080,285.15
988110,285.15
988140,285.15
988170,285.15
988200,285.15
988230,285.15
988260,285.15
988290,285.15
988320,285.15
988350,285.15
988380,285.15
988410,285.15
988440,285.15
988470,285.15
988500,285.15
988530,285.15
988560,285.15
988590,285.15
988620,285.15
988650,285.15
988680,285.15
988710,285.15
988740,285.15
988770,285.15
988800,285.15
988830,285.15
988860,285.15
988890,285.15
988920,285.15
988950,285.15
988980,285.15
989010,285.15
989040,285.15
989070,285.15
989100,285.15
989130,285.15
989160,285.15
989190,285.15
989220,285.15
989250,285.15
989280,285.15
989310,285.15
989340,285.15
989370,285.15
989400,285.15
989430,285.15
989460,285.15
989490,285.15
989520,285.15
989550,285.15
989580,285.15
989610,285.15
989640,285.15
989670,285.15
989700,285.15
989730,285.15
989760,285.15
989790,285.15
989820,285.15
989850,285.15
989880,285.15
989910,285.15
989940,285.15
989970,285.15
990000,285.15
990030,285.15
990060,285.15
990090,285.15
990120,285.15
990150,285.15
990180,285.15
990210,285.15
990240,285.15
990270,285.15
990300,285.15
990330,285.15
990360,285.15
990390,285.15
990420,285.15
990450,285.15
990480,285.15
990510,285.15
990540,285.15
990570,285.15
990600,285.15
990630,285.15
990660,285.15
990690,285.15
990720,285.15
990750,285.15
990780,285.15
990810,285.15
990840,285.15
990870,285.15
990900,285.15
990930,285.15
990960,285.15
990990,285.15
991020,285.15
991050,285.15
991080,285.15
991110,285.15
991140,285.15
991170,285.15
991200,285.15
991230,285.15
991260,285.15
991290,285.15
991320,285.15
991350,285.15
991380,285.15
991410,285.15
991440,285.15
991470,285.15
991500,285.15
991530,285.15
991560,285.15
991590,285.15
991620,285.15
991650,285.15
991680,285.15
991710,285.15
991740,285.15
991770,285.15
991800,285.15
991830,285.15
991860,285.15
991890,285.15
991920,285.15
991950,285.15
991980,285.15
992010,285.15
992040,285.15
992070,285.15
992100,285.15
992130,285.15
992160,285.15
992190,285.15
992220,285.15
992250,285.15
992280,285.15
992310,285.15
992340,285.15
992370,285.15
992400,285.15
992430,285.15
992460,285.15
992490,285.15
992520,285.15
992550,285.15
992580,285.15
992610,285.15
992640,285.15
992670,285.15
992700,285.15
992730,285.15
992760,285.15
992790,285.15
992820,285.15
992850,285.15
992880,285.15
992910,285.15
992940,285.15
992970,285.15
993000,285.15
993030,285.15
993060,285.15
993090,285.15
993120,285.15
993150,285.15
993180,285.15
993210,285.15
993240,285.15
993270,285.15
993300,285.15
993330,285.15
993360,285.15
993390,285.15
993420,285.15
993450,285.15
993480,285.15
993510,285.15
993540,285.15
993570,285.15
993600,285.15
993630,285.15
993660,285.15
993690,285.15
993720,285.15
993750,285.15
993780,285.15
993810,285.15
993840,285.15
993870,285.15
993900,285.15
993930,285.15
993960,285.15
993990,285.15
994020,285.15
994050,285.15
994080,285.15
994110,285.15
994140,285.15
994170,285.15
994200,285.15
994230,285.15
994260,285.15
994290,285.15
994320,285.15
994350,285.15
994380,285.15
994410,285.15
994440,285.15
994470,285.15
994500,285.15
994530,285.15
994560,285.15
994590,285.15
994620,285.15
994650,285.15
994680,285.15
994710,285.15
994740,285.15
994770,285.15
994800,285.15
994830,285.15
994860,285.15
994890,285.15
994920,285.15
994950,285.15
994980,285.15
995010,285.15
995040,285.15
995070,285.15
995100,285.15
995130,285.15
995160,285.15
995190,285.15
995220,285.15
995250,285.15
995280,285.15
995310,285.15
995340,285.15
995370,285.15
995400,285.15
995430,285.15
995460,285.15
995490,285.15
995520,285.15
995550,285.15
995580,285.15
995610,285.15
995640,285.15
995670,285.15
995700,285.15
995730,285.15
995760,285.15
995790,285.15
995820,285.15
995850,285.15
995880,285.15
995910,285.15
995940,285.15
995970,285.15
996000,285.15
996030,285.15
996060,285.15
996090,285.15
996120,285.15
996150,285.15
996180,285.15
996210,285.15
996240,285.15
996270,285.15
996300,285.15
996330,285.15
996360,285.15
996390,285.15
996420,285.15
996450,285.15
996480,285.15
996510,285.15
996540,285.15
996570,285.15
996600,285.15
996630,285.15
996660,285.15
996690,285.15
996720,285.15
996750,285.15
996780,285.15
996810,285.15
996840,285.15
996870,285.15
996900,285.15
996930,285.15
996960,285.15
996990,285.15
997020,285.15
997050,285.15
997080,285.15
997110,285.15
997140,285.15
997170,285.15
997200,285.15
997230,285.15
997260,285.15
997290,285.15
997320,285.15
997350,285.15
997380,285.15
997410,285.15
997440,285.15
997470,285.15
997500,285.15
997530,285.15
997560,285.15
997590,285.15
997620,285.15
997650,285.15
997680,285.15
997710,285.15
997740,285.15
997770,285.15
997800,285.15
997830,285.15
997860,285.15
997890,285.15
997920,285.15
997950,285.15
997980,285.15
998010,285.15
998040,285.15
998070,285.15
998100,285.15
998130,285.15
998160,285.15
998190,285.15
998220,285.15
998250,285.15
998280,285.15
998310,285.15
998340,285.15
998370,285.15
998400,285.15
998430,285.15
998460,285.15
998490,285.15
998520,285.15
998550,285.15
998580,285.15
998610,285.15
998640,285.15
998670,285.15
998700,285.15
998730,285.15
998760,285.15
998790,285.15
998820,285.15
998850,285.15
998880,285.15
998910,285.15
998940,285.15
998970,285.15
999000,285.15
999030,285.15
999060,285.15
999090,285.15
999120,285.15
999150,285.15
999180,285.15
999210,285.15
999240,285.15
999270,285.15
999300,285.15
999330,285.15
999360,285.15
999390,285.15
999420,285.15
999450,285.15
999480,285.15
999510,285.15
999540,285.15
999570,285.15
999600,285.15
999630,285.15
999660,285.15
999690,285.15
999720,285.15
999750,285.15
999780,285.15
999810,285.15
999840,285.15
999870,285.15
999900,285.15
999930,285.15
999960,285.15
999990,285.15
1000020,285.15
1000050,285.15
1000080,285.15
1000110,285.15
1000140,285.15
1000170,285.15
1000200,285.15
1000230,285.15
1000260,285.15
1000290,285.15
1000320,285.15
1000350,285.15
1000380,285.15
1000410,285.15
1000440,285.15
1000470,285.15
1000500,285.15
1000530,285.15
1000560,285.15
1000590,285.15
1000620,285.15
1000650,285.15
1000680,285.15
1000710,285.15
1000740,285.15
1000770,285.15
1000800,285.15
1000830,285.15
1000860,285.15
1000890,285.15
1000920,285.15
1000950,285.15
1000980,285.15
1001010,285.15
1001040,285.15
1001070,285.15
1001100,285.15
1001130,285.15
1001160,285.15
1001190,285.15
1001220,285.15
1001250,285.15
1001280,285.15
1001310,285.15
1001340,285.15
1001370,285.15
1001400,285.15
1001430,285.15
1001460,285.15
1001490,285.15
1001520,285.15
1001550,285.15
1001580,285.15
1001610,285.15
1001640,285.15
1001670,285.15
1001700,285.15
1001730,285.15
1001760,285.15
1001790,285.15
1001820,285.15
1001850,285.15
1001880,285.15
1001910,285.15
1001940,285.15
1001970,285.15
1002000,285.15
1002030,285.15
1002060,285.15
1002090,285.15
1002120,285.15
1002150,285.15
1002180,285.15
1002210,285.15
1002240,285.15
1002270,285.15
1002300,285.15
1002330,285.15
1002360,285.15
1002390,285.15
1002420,285.15
1002450,285.15
1002480,285.15
1002510,285.15
1002540,285.15
1002570,285.15
1002600,285.15
1002630,285.15
1002660,285.15
1002690,285.15
1002720,285.15
1002750,285.15
1002780,285.15
1002810,285.15
1002840,285.15
1002870,285.15
1002900,285.15
1002930,285.15
1002960,285.15
1002990,285.15
1003020,285.15
1003050,285.15
1003080,285.15
1003110,285.15
1003140,285.15
1003170,285.15
1003200,285.15
1003230,285.15
1003260,285.15
1003290,285.15
1003320,285.15
1003350,285.15
1003380,285.15
1003410,285.15
1003440,285.15
1003470,285.15
1003500,285.15
1003530,285.15
1003560,285.15
1003590,285.15
1003620,285.15
1003650,285.15
1003680,285.15
1003710,285.15
1003740,285.15
1003770,285.15
1003800,285.15
1003830,285.15
1003860,285.15
1003890,285.15
1003920,285.15
1003950,285.15
1003980,285.15
1004010,285.15
1004040,285.15
1004070,285.15
1004100,285.15
1004130,285.15
1004160,285.15
1004190,285.15
1004220,285.15
1004250,285.15
1004280,285.15
1004310,285.15
1004340,285.15
1004370,285.15
1004400,285.15
1004430,285.15
1004460,285.15
1004490,285.15
1004520,285.15
1004550,285.15
1004580,285.15
1004610,285.15
1004640,285.15
1004670,285.15
1004700,285.15
1004730,285.15
1004760,285.15
1004790,285.15
1004820,285.15
1004850,285.15
1004880,285.15
1004910,285.15
1004940,285.15
1004970,285.15
1005000,285.15
1005030,285.15
1005060,285.15
1005090,285.15
1005120,285.15
1005150,285.15
1005180,285.15
1005210,285.15
1005240,285.15
1005270,285.15
1005300,285.15
1005330,285.15
1005360,285.15
1005390,285.15
1005420,285.15
1005450,285.15
1005480,285.15
1005510,285.15
1005540,285.15
1005570,285.15
1005600,285.15
1005630,285.15
1005660,285.15
1005690,285.15
1005720,285.15
1005750,285.15
1005780,285.15
1005810,285.15
1005840,285.15
1005870,285.15
1005900,285.15
1005930,285.15
1005960,285.15
1005990,285.15
1006020,285.15
1006050,285.15
1006080,285.15
1006110,285.15
1006140,285.15
1006170,285.15
1006200,285.15
1006230,285.15
1006260,285.15
1006290,285.15
1006320,285.15
1006350,285.15
1006380,285.15
1006410,285.15
1006440,285.15
1006470,285.15
1006500,285.15
1006530,285.15
1006560,285.15
1006590,285.15
1006620,285.15
1006650,285.15
1006680,285.15
1006710,285.15
1006740,285.15
1006770,285.15
1006800,285.15
1006830,285.15
1006860,285.15
1006890,285.15
1006920,285.15
1006950,285.15
1006980,285.15
1007010,285.15
1007040,285.15
1007070,285.15
1007100,285.15
1007130,285.15
1007160,285.15
1007190,285.15
1007220,285.15
1007250,285.15
1007280,285.15
1007310,285.15
1007340,285.15
1007370,285.15
1007400,285.15
1007430,285.15
1007460,285.15
1007490,285.15
1007520,285.15
1007550,285.15
1007580,285.15
1007610,285.15
1007640,285.15
1007670,285.15
1007700,285.15
1007730,285.15
1007760,285.15
1007790,285.15
1007820,285.15
1007850,285.15
1007880,285.15
1007910,285.15
1007940,285.15
1007970,285.15
1008000,285.15
1008030,285.15
1008060,285.15
1008090,285.15
1008120,285.15
1008150,285.15
1008180,285.15
1008210,285.15
1008240,285.15
1008270,285.15
1008300,285.15
1008330,285.15
1008360,285.15
1008390,285.15
1008420,285.15
1008450,285.15
1008480,285.15
1008510,285.15
1008540,285.15
1008570,285.15
1008600,285.15
1008630,285.15
1008660,285.15
1008690,285.15
1008720,285.15
1008750,285.15
1008780,285.15
1008810,285.15
1008840,285.15
1008870,285.15
1008900,285.15
