time,hvac_reaZonNor_V_flow_y
11846400,-5.2337755946554104e-08
11846430,-5.05884132012758e-08
11846460,-4.885847007727262e-08
11846490,-4.7145340036337176e-08
11846520,-4.544471221358165e-08
11846550,-4.3755293324844277e-08
11846580,-4.207406575851028e-08
11846610,-4.039801190558339e-08
11846640,-3.8727562817053097e-08
11846670,-3.7058407640647554e-08
11846700,-3.539011526557509e-08
11846730,-3.372268566352772e-08
11846760,-3.205396339637894e-08
11846790,-3.0385241682532185e-08
11846820,-2.8716520494113848e-08
11846850,-2.7050386294343335e-08
11846880,-2.5385976890927682e-08
11846910,-2.372674090966525e-08
11846940,-2.2073540484800974e-08
11846970,-2.04298242407234e-08
11847000,-1.879860971940695e-08
11847030,-1.718205229914948e-08
11847060,-1.558360060315892e-08
11847090,-1.4004547846590996e-08
11847120,-1.2450066979391439e-08
11847150,-1.0921882299097394e-08
11847180,-9.4230113487759e-09
11847210,-7.95560950931256e-09
11847240,-6.522694325758392e-09
11847270,-5.128576588825488e-09
11847300,-3.778429253449186e-09
11847330,-2.4825982534747074e-09
11847360,-1.2156497626763588e-09
11847390,1.5518933000974063e-11
11847420,1.2126321753190475e-09
11847450,2.364481860469602e-09
11847480,3.4801207122848e-09
11847510,4.5629973941431444e-09
11847540,5.616129486855422e-09
11847570,6.645121059239391e-09
11847600,7.651696446190424e-09
11847630,7.703426359444097e-09
11847660,6.9809338833395255e-09
11847690,6.487345656749911e-09
11847720,6.054539900755034e-09
11847750,5.6191476360012755e-09
11847780,5.178582375070821e-09
11847810,4.73543060885236e-09
11847840,4.290985583783564e-09
11847870,3.8456783833013115e-09
11847900,3.400802253949227e-09
11847930,2.9550639530647165e-09
11847960,2.5119121349165465e-09
11847990,2.070484638378713e-09
11848020,1.6307814653790707e-09
11848050,1.1945269439741763e-09
11848080,7.608589129404596e-10
11848110,3.315017002329584e-10
11848140,-9.311361087986042e-11
11848170,-5.13849181790178e-10
11848200,-9.285496032551362e-10
11848230,-1.3376459553052908e-09
11848260,-1.741138236517341e-09
11848290,-2.1381642825300283e-09
11848320,-2.527861929112871e-09
11848350,-2.911955501149683e-09
11848380,-3.287858508619812e-09
11848410,-3.656864195093763e-09
11848440,-4.018110396781617e-09
11848470,-4.371166031516192e-09
11848500,-4.71732434307442e-09
11848530,-5.0544299236623235e-09
11848560,-5.382913854375642e-09
11848590,-5.70406937920797e-09
11848620,-6.01617217223254e-09
11848650,-6.320084396186609e-09
11848680,-6.615806051025346e-09
11848710,-6.902906055410499e-09
11848740,-7.1809533281339586e-09
11848770,-7.450810032165078e-09
11848800,-7.712476167771633e-09
11848830,-7.965089572649087e-09
11848860,-8.209943491209248e-09
11848890,-8.446606842587514e-09
11848920,-8.67507962731589e-09
11848950,-8.894930764722658e-09
11848980,-9.107453499240636e-09
11849010,-9.311354587782056e-09
11849040,-9.508789437217428e-09
11849070,-9.697171560955777e-09
11849100,-9.879087447025861e-09
11849130,-1.0053243852611575e-08
11849160,-1.022050294087572e-08
11849190,-1.0380864712617105e-08
11849220,-1.0533467006438614e-08
11849250,-1.0680465228783624e-08
11849280,-1.0820997218222368e-08
11849310,-1.095420081349099e-08
11849340,-1.1081369258701992e-08
11849370,-1.1202071473676727e-08
11849400,-1.131803178335305e-08
11849430,-1.1427094783493208e-08
11849460,-1.1530984798991633e-08
11849490,-1.1630995073448846e-08
11849520,-1.1725401283754182e-08
11849550,-1.1815496673484828e-08
11849580,-1.1900850162437093e-08
11849610,-1.1982323913098668e-08
11849640,-1.2058624683557363e-08
11849670,-1.2130614636304013e-08
11849700,-1.2198724852868258e-08
11849730,-1.226209317232722e-08
11849760,-1.2321581757017919e-08
11849790,-1.2376759526864072e-08
11849820,-1.24271954018752e-08
11849850,-1.2473751544289382e-08
11849880,-1.2516859035497158e-08
11849910,-1.2555655714792305e-08
11849940,-1.258841726032624e-08
11849970,-1.2617730156917176e-08
11850000,-1.264316332460939e-08
11850030,-1.266342352234482e-08
11850060,-1.2680666153900578e-08
11850090,-1.2691442575459985e-08
11850120,-1.2697477110254835e-08
11850150,-1.2699631920171768e-08
11850180,-1.2696613764473736e-08
11850210,-1.2688853724559515e-08
11850240,-1.2675920720843292e-08
11850270,-1.2657814754253465e-08
11850300,-1.2634535825718706e-08
11850330,-1.2606083936167191e-08
11850360,-1.2572028006152554e-08
11850390,-1.2531936956305484e-08
11850420,-1.248667294833344e-08
11850450,-1.2435804902839559e-08
11850480,-1.2378901740500275e-08
11850510,-1.2315532382063357e-08
11850540,-1.2245696828601664e-08
11850570,-1.217025724165141e-08
11850600,-1.2087920381496979e-08
11850630,-1.1998686249235054e-08
11850660,-1.1903848086487167e-08
11850690,-1.180081941318403e-08
11850720,-1.1691324551112439e-08
11850750,-1.1574932421121904e-08
11850780,-1.1449918703795802e-08
11850810,-1.1318438800777381e-08
11850840,-1.1178337312619917e-08
11850870,-1.1030907480627438e-08
11850900,-1.0874424985612462e-08
11850930,-1.0709320908723296e-08
11850960,-1.0535595251000167e-08
11850990,-1.035281693345767e-08
11851020,-1.0160985957102401e-08
11851050,-9.959240162987159e-09
11851080,-9.747579552115886e-09
11851110,-9.524279805745922e-09
11851140,-9.291496324481462e-09
11851170,-9.04578046995488e-09
11851200,-8.789287642610413e-09
11851230,-8.784114395828936e-09
11851260,-8.956546045409765e-09
11851290,-9.04189955445888e-09
11851320,-9.094490989739016e-09
11851350,-9.130701387751495e-09
11851380,-9.147082112355824e-09
11851410,-9.145357485222923e-09
11851440,-9.123803189688897e-09
11851470,-9.08457462705135e-09
11851500,-9.025516400953062e-09
11851530,-8.948352832771304e-09
11851560,-8.851790685666533e-09
11851590,-8.737554280754816e-09
11851620,-8.603057142075896e-09
11851650,-8.451316829558863e-09
11851680,-8.280177946842796e-09
11851710,-8.091795894112795e-09
11851740,-7.885308513799717e-09
11851770,-7.660715807539781e-09
11851800,-7.4188799360369025e-09
11851830,-7.158938741398783e-09
11851860,-6.88347870229889e-09
11851890,-6.590344421746502e-09
11851920,-6.280829139257411e-09
11851950,-5.955795014502853e-09
11851980,-5.614379888753236e-09
11852010,-5.258739159869273e-09
11852040,-4.8880106687162416e-09
11852070,-4.501332256044835e-09
11852100,-4.101721478009225e-09
11852130,-3.6878850954009017e-09
11852160,-3.2619785048308637e-09
11852190,-2.8227084667236684e-09
11852220,-2.3717992977453954e-09
11852250,-1.9083888374486227e-09
11852280,-1.4337703225976957e-09
11852310,-9.48374830797993e-10
11852340,-4.5306451893843027e-10
11852370,5.2160615203172144e-11
11852400,5.668694945450461e-10
11852430,1.0901999627016606e-09
11852460,1.6230141812917575e-09
11852490,2.1627256763663025e-09
11852520,2.7106276892820536e-09
11852550,3.2654269847311796e-09
11852580,3.826692486443452e-09
11852610,4.395286356682828e-09
11852640,4.969915360451044e-09
11852670,5.551441660261464e-09
11852700,6.134261226275553e-09
11852730,6.727857811105114e-09
11852760,7.325334146641718e-09
11852790,7.925828077601968e-09
11852820,8.534081482685325e-09
11852850,9.143197093403909e-09
11852880,9.762658663826763e-09
11852910,1.0379533811515831e-08
11852940,1.100761708675595e-08
11852970,1.1638717982241541e-08
11853000,1.2271112183751473e-08
11853030,1.2910403730619932e-08
11853060,1.3554437229526203e-08
11853090,1.4201057286853605e-08
11853120,1.4851557146132274e-08
11853150,1.5504212493274463e-08
11853180,1.6160747651669927e-08
11853210,1.681857614763793e-08
11853240,1.7475973666497197e-08
11853270,1.813466453145212e-08
11853300,1.8789906868810973e-08
11853330,1.944170068187881e-08
11853360,2.0087028414704143e-08
11853390,2.0722872510324124e-08
11853420,2.1347939730325364e-08
11853450,2.195705711598594e-08
11853480,2.254677602656092e-08
11853510,2.3112354579681158e-08
11853540,2.3650344130996564e-08
11853570,2.415384739375306e-08
11853600,2.4618984638936452e-08
11853630,2.503972073468447e-08
11853660,2.5410451626414463e-08
11853690,2.5726004336961118e-08
11853720,2.5982068047002208e-08
11853750,2.6173038694123884e-08
11853780,2.629589869518339e-08
11853810,2.6347630465494553e-08
11853840,2.6327802901302453e-08
11853870,2.623426057700337e-08
11853900,2.6070021031820567e-08
11853930,2.583637748453962e-08
11853960,2.5514362372552353e-08
11853990,2.5155705332960647e-08
11854020,2.4737990165394995e-08
11854050,2.427501143348062e-08
11854080,2.3767200206251634e-08
11854110,2.322102268353217e-08
11854140,2.2643807229659873e-08
11854170,2.2164878059187474e-08
11854200,2.1470839480643544e-08
11854230,2.0805252100185963e-08
11854260,2.017156457331538e-08
11854290,1.9533997199956474e-08
11854320,1.889815403471431e-08
11854350,1.8266190486565362e-08
11854380,1.764069304595839e-08
11854410,1.7025110365760272e-08
11854440,1.64177181280034e-08
11854470,1.582153390497372e-08
11854500,1.5237419864385447e-08
11854530,1.4665807092887236e-08
11854560,1.410540235285717e-08
11854590,1.3556205649373211e-08
11854620,1.3018216987288245e-08
11854650,1.2491436371230543e-08
11854680,1.1975432724515498e-08
11854710,1.14676195646608e-08
11854740,1.0969290138732059e-08
11854770,1.0478720125856327e-08
11854800,9.994616285940548e-09
11854830,1.0186016584142658e-08
11854860,1.0686502097861014e-08
11854890,1.088393758212811e-08
11854920,1.1168882570004814e-08
11854950,1.1480123539238481e-08
11854980,1.178705372676848e-08
11855010,1.2093552864158071e-08
11855040,1.239962095222368e-08
11855070,1.2703102585445867e-08
11855100,1.3004859926892075e-08
11855130,1.3303168651953885e-08
11855160,1.3598028760946761e-08
11855190,1.3888578091477827e-08
11855220,1.417438556229821e-08
11855250,1.4455020092022378e-08
11855280,1.472918843637249e-08
11855310,1.499732167635495e-08
11855340,1.525769548591001e-08
11855370,1.551203419004355e-08
11855400,1.5756889136586307e-08
11855430,1.5994846813233903e-08
11855460,1.6222889648712336e-08
11855490,1.6441879804682984e-08
11855520,1.6651817279820438e-08
11855550,1.685097774651738e-08
11855580,1.7039361203028994e-08
11855610,1.7216967647522645e-08
11855640,1.738336599646909e-08
11855670,1.753855624780512e-08
11855700,1.7680814072769026e-08
11855730,1.7811001632234974e-08
11855760,1.7927394596986365e-08
11855790,1.8031286209429422e-08
11855820,1.812138322171363e-08
11855850,1.8197254549192604e-08
11855880,1.8259331270650927e-08
11855910,1.830588905586512e-08
11855940,1.8337790065204912e-08
11855970,1.835374104991088e-08
11856000,1.835460417031324e-08
11856030,1.8339517259304035e-08
11856060,1.8307618149585312e-08
11856090,1.8259769001456726e-08
11856120,1.8194245483604514e-08
11856150,1.8111909756310714e-08
11856180,1.801233073403088e-08
11856210,1.789335300304222e-08
11856240,1.7757563051834855e-08
11856270,1.7603236548725186e-08
11856300,1.7429942408052358e-08
11856330,1.723854279051277e-08
11856360,1.702774444638021e-08
11856390,1.67962541257972e-08
11856420,1.654622723622151e-08
11856450,1.6274646199281416e-08
11856480,1.5984959669470844e-08
11856510,1.5672856821831386e-08
11856540,1.534092414690719e-08
11856570,1.4987006230905647e-08
11856600,1.4611965235924905e-08
11856630,1.4373146200751685e-08
11856660,1.3784288284204067e-08
11856690,1.3328203664294166e-08
11856720,1.304713842658032e-08
11856750,1.2651836323026512e-08
11856780,1.2156954144265786e-08
11856810,1.1635344806546199e-08
11856840,1.1088732638987886e-08
11856870,1.0519704136157986e-08
11856900,9.925672804227079e-09
11856930,9.306207561741844e-09
11856960,8.66217057502757e-09
11856990,7.990975351397227e-09
11857020,7.29477730554692e-09
11857050,6.570558863347527e-09
11857080,5.820044358251132e-09
11857110,5.04107838221113e-09
11857140,4.234523105096021e-09
11857170,3.398654202685554e-09
11857200,2.533040598925327e-09
11857230,1.6381133835169734e-09
11857260,7.13010399604672e-10
11857290,-2.422683438288305e-10
11857320,-1.2290160842394182e-09
11857350,-2.2472328106832005e-09
11857380,-3.2969185111894634e-09
11857410,-4.378504255158769e-09
11857440,-5.4924211108550075e-09
11857470,-6.636944733329401e-09
11857500,-7.81207510627887e-09
11857530,-9.01781221226719e-09
11857560,-1.0253724950362922e-08
11857590,-1.1516364642221112e-08
11857620,-1.2805731267615402e-08
11857650,-1.4119238311588528e-08
11857680,-1.5453006012070783e-08
11857710,-1.680487893615401e-08
11857740,-1.816882191104667e-08
11857770,-1.9542679504916567e-08
11857800,-2.0919554382901136e-08
11857830,-2.2293842458849937e-08
11857860,-2.3658646402813946e-08
11857890,-2.500577564206656e-08
11857920,-2.632876393618181e-08
11857950,-2.761855855719638e-08
11857980,-2.8866537864724055e-08
11858010,-3.006537346994007e-08
11858040,-3.120558158074539e-08
11858070,-3.228026490269797e-08
11858100,-3.328338831089466e-08
11858130,-3.420676127786652e-08
11858160,-3.534265716875056e-08
11858190,-3.614187799764563e-08
11858220,-3.675961323739931e-08
11858250,-3.728466574287138e-08
11858280,-3.7745055848475324e-08
11858310,-3.8101124104655974e-08
11858340,-3.83808908448826e-08
11858370,-3.858694259560783e-08
11858400,-3.872445236912448e-08
11858430,0.24865279348802716
11858460,0.3104205745164585
11858490,0.3252572904995506
11858520,0.3263663882320082
11858550,0.3236781132370469
11858580,0.3199482504686089
11858610,0.3159332190286056
11858640,0.3118407902846871
11858670,0.3077285858946932
11858700,0.30361243047190506
11858730,0.2994971569072024
11858760,0.29538430784977704
11858790,0.2912750719366562
11858820,0.28716935499173213
11858850,0.2830682636275864
11858880,0.2789726595271999
11858910,0.274883222888224
11858940,0.27080011402387205
11858970,0.2667245282764072
11859000,0.26265736015985963
11859030,0.25859938772530455
11859060,0.25455250577639216
11859090,0.25051787265533676
11859120,0.2464962975569711
11859150,0.24248881403912823
11859180,0.2384994697078258
11859210,0.23452971199184014
11859240,0.23058237203021978
11859270,0.2266607636289059
11859300,0.22276897056622783
11859330,0.21892488982873007
11859360,0.2151220473312052
11859390,0.21136372665509282
11859420,0.20765908657354115
11859450,0.20401712723911405
11859480,0.20035194147510083
11859510,0.19679537086149315
11859540,0.19338060026089782
11859570,0.19007425606462394
11859600,0.18686427353345983
11859630,0.1852475630249035
11859660,0.18478603377726585
11859690,0.1846332532136067
11859720,0.1845963417548996
11859750,0.184602112625599
11859780,0.18462309005842914
11859810,0.18464845216953532
11859840,0.1846759721736368
11859870,0.18470268572282367
11859900,0.18472849685007298
11859930,0.18475324693025252
11859960,0.18477684460270735
11859990,0.1847994891525871
11860020,0.18482063308626206
11860050,0.1848409191515831
11860080,0.1848601021162326
11860110,0.18487856019871715
11860140,0.1848960262121075
11860170,0.1849126808023455
11860200,0.18492852417412778
11860230,0.1849436736198096
11860260,0.18495819854469228
11860290,0.18497208154989153
11860320,0.184985349652473
11860350,0.18499808833837475
11860380,0.18501030387655723
11860410,0.18502205180578377
11860440,0.1850333437087371
11860470,0.18504422281029928
11860500,0.1850547023015008
11860530,0.1850647943873737
11860560,0.18507453040262417
11860590,0.1850839428157417
11860620,0.18509305774455267
11860650,0.18510185172712754
11860680,0.18511037580009643
11860710,0.18511863280487342
11860740,0.1851265951055992
11860770,0.1851343598063547
11860800,0.18514188603999973
11860830,0.18514918585954626
11860860,0.18515627385557912
11860890,0.18516316012625456
11860920,0.18516985588765647
11860950,0.1851763598545216
11860980,0.1851827031776542
11861010,0.18518886097572865
11861040,0.18519477185136524
11861070,0.18520049385881265
11861100,0.1852060277285535
11861130,0.1852113829004926
11861160,0.18521656880842996
11861190,0.18522159385101386
11861220,0.18522646691968875
11861250,0.18523119687566156
11861280,0.18523579166050413
11861310,0.18524026000902424
11861340,0.1852446100245293
11861370,0.1852488463030364
11861400,0.18525297869024318
11861430,0.18525701053736876
11861460,0.18526095050348257
11861490,0.18526480081875982
11861520,0.18526856974867845
11861550,0.18527225816324214
11861580,0.1852758750931131
11861610,0.18527942541322234
11861640,0.18528291927806295
11861670,0.18528635578401245
11861700,0.18528974098795264
11861730,0.18529306868733028
11861760,0.18529634524459165
11861790,0.18529956138471995
11861820,0.18530272712442789
11861850,0.18530582964973125
11861880,0.18530888552120836
11861910,0.18531187974785066
11861940,0.18531482311043307
11861970,0.18531771574459177
11862000,0.1853205599487926
11862030,0.18532335780249948
11862060,0.1853261118366996
11862090,0.1853288250107873
11862120,0.18533150080247612
11862150,0.1853341428539332
11862180,0.18533675466396668
11862210,0.18533933940327665
11862240,0.1853418998947996
11862270,0.1853444386504565
11862300,0.18534695791498051
11862330,0.1853494596958878
11862360,0.18535194578827785
11862390,0.18535441779546338
11862420,0.18535687714714272
11862450,0.18535932511441267
11862480,0.185361762823894
11862510,0.18536419127067147
11862540,0.18536661132975313
11862570,0.1853690237659501
11862600,0.18537142924213765
11862630,0.1853738283265665
11862660,0.18537622149906655
11862690,0.18537860915665486
11862720,0.1853809916183754
11862750,0.18538336912948783
11862780,0.1853857418653718
11862810,0.185388109934865
11862840,0.1853904733833782
11862870,0.18539283219587954
11862900,0.18539518629929708
11862930,0.1853975355652326
11862960,0.18539987981201844
11862990,0.18540221880720942
11863020,0.18540455226939753
11863050,0.1854068798706416
11863080,0.18540920123823318
11863110,0.18541151595711303
11863140,0.18541382357163633
11863170,0.18541612358811418
11863200,0.18541841547659277
11863230,0.18542069867365057
11863260,0.18542297258427487
11863290,0.18542523658487373
11863320,0.18542749002542913
11863350,0.18542965493743815
11863380,0.18542913078129358
11863410,0.18542891920389348
11863440,0.18542885004792165
11863470,0.18542883582501102
11863500,0.1854288418229465
11863530,0.18542885641488208
11863560,0.18542887249768844
11863590,0.18542888906467384
11863620,0.18542890500303374
11863650,0.18542891988542792
11863680,0.1854289336042628
11863710,0.18542894612516683
11863740,0.18542895739271523
11863770,0.18542896734894868
11863800,0.185428975953034
11863830,0.18542898318414472
11863860,0.18542898903898705
11863890,0.185428993528939
11863920,0.18542899667865112
11863950,0.1854289985255148
11863980,0.18542899911807456
11864010,0.1854289984901723
11864040,0.1854289966596598
11864070,0.18542899365071677
11864100,0.1854289894968187
