time,hvac_oveAhu_TSupSet_u
6665460,285.15
6665490,285.15
6665520,285.15
6665550,285.15
6665580,285.15
6665610,285.15
6665640,285.15
6665670,285.15
6665700,285.15
6665730,285.15
6665760,285.15
6665790,285.15
6665820,285.15
6665850,285.15
6665880,285.15
6665910,285.15
6665940,285.15
6665970,285.15
6666000,285.15
6666030,285.15
6666060,285.15
6666090,285.15
6666120,285.15
6666150,285.15
6666180,285.15
6666210,285.15
6666240,285.15
6666270,285.15
6666300,285.15
6666330,285.15
6666360,285.15
6666390,285.15
6666420,285.15
6666450,285.15
6666480,285.15
6666510,285.15
6666540,285.15
6666570,285.15
6666600,285.15
6666630,285.15
6666660,285.15
6666690,285.15
6666720,285.15
6666750,285.15
6666780,285.15
6666810,285.15
6666840,285.15
6666870,285.15
6666900,285.15
6666930,285.15
6666960,285.15
6666990,285.15
6667020,285.15
6667050,285.15
6667080,285.15
6667110,285.15
6667140,285.15
6667170,285.15
6667200,285.15
6667230,285.15
6667260,285.15
6667290,285.15
6667320,285.15
6667350,285.15
6667380,285.15
6667410,285.15
6667440,285.15
6667470,285.15
6667500,285.15
6667530,285.15
6667560,285.15
6667590,285.15
6667620,285.15
6667650,285.15
6667680,285.15
6667710,285.15
6667740,285.15
6667770,285.15
6667800,285.15
6667830,285.15
6667860,285.15
6667890,285.15
6667920,285.15
6667950,285.15
6667980,285.15
6668010,285.15
6668040,285.15
6668070,285.15
6668100,285.15
6668130,285.15
6668160,285.15
6668190,285.15
6668220,285.15
6668250,285.15
6668280,285.15
6668310,285.15
6668340,285.15
6668370,285.15
6668400,285.15
6668430,285.15
6668460,285.15
6668490,285.15
6668520,285.15
6668550,285.15
6668580,285.15
6668610,285.15
6668640,285.15
6668670,285.15
6668700,285.15
6668730,285.15
6668760,285.15
6668790,285.15
6668820,285.15
6668850,285.15
6668880,285.15
6668910,285.15
6668940,285.15
6668970,285.15
6669000,285.15
6669030,285.15
6669060,285.15
6669090,285.15
6669120,285.15
6669150,285.15
6669180,285.15
6669210,285.15
6669240,285.15
6669270,285.15
6669300,285.15
6669330,285.15
6669360,285.15
6669390,285.15
6669420,285.15
6669450,285.15
6669480,285.15
6669510,285.15
6669540,285.15
6669570,285.15
6669600,285.15
6669630,285.15
6669660,285.15
6669690,285.15
6669720,285.15
6669750,285.15
6669780,285.15
6669810,285.15
6669840,285.15
6669870,285.15
6669900,285.15
6669930,285.15
6669960,285.15
6669990,285.15
6670020,285.15
6670050,285.15
6670080,285.15
6670110,285.15
6670140,285.15
6670170,285.15
6670200,285.15
6670230,285.15
6670260,285.15
6670290,285.15
6670320,285.15
6670350,285.15
6670380,285.15
6670410,285.15
6670440,285.15
6670470,285.15
6670500,285.15
6670530,285.15
6670560,285.15
6670590,285.15
6670620,285.15
6670650,285.15
6670680,285.15
6670710,285.15
6670740,285.15
6670770,285.15
6670800,285.15
6670830,285.15
6670860,285.15
6670890,285.15
6670920,285.15
6670950,285.15
6670980,285.15
6671010,285.15
6671040,285.15
6671070,285.15
6671100,285.15
6671130,285.15
6671160,285.15
6671190,285.15
6671220,285.15
6671250,285.15
6671280,285.15
6671310,285.15
6671340,285.15
6671370,285.15
6671400,285.15
6671430,285.15
6671460,285.15
6671490,285.15
6671520,285.15
6671550,285.15
6671580,285.15
6671610,285.15
6671640,285.15
6671670,285.15
6671700,285.15
6671730,285.15
6671760,285.15
6671790,285.15
6671820,285.15
6671850,285.15
6671880,285.15
6671910,285.15
6671940,285.15
6671970,285.15
6672000,285.15
6672030,285.15
6672060,285.15
6672090,285.15
6672120,285.15
6672150,285.15
6672180,285.15
6672210,285.15
6672240,285.15
6672270,285.15
6672300,285.15
6672330,285.15
6672360,285.15
6672390,285.15
6672420,285.15
6672450,285.15
6672480,285.15
6672510,285.15
6672540,285.15
6672570,285.15
6672600,285.15
6672630,285.15
6672660,285.15
6672690,285.15
6672720,285.15
6672750,285.15
6672780,285.15
6672810,285.15
6672840,285.15
6672870,285.15
6672900,285.15
6672930,285.15
6672960,285.15
6672990,285.15
6673020,285.15
6673050,285.15
6673080,285.15
6673110,285.15
6673140,285.15
6673170,285.15
6673200,285.15
6673230,285.15
6673260,285.15
6673290,285.15
6673320,285.15
6673350,285.15
6673380,285.15
6673410,285.15
6673440,285.15
6673470,285.15
6673500,285.15
6673530,285.15
6673560,285.15
6673590,285.15
6673620,285.15
6673650,285.15
6673680,285.15
6673710,285.15
6673740,285.15
6673770,285.15
6673800,285.15
6673830,285.15
6673860,285.15
6673890,285.15
6673920,285.15
6673950,285.15
6673980,285.15
6674010,285.15
6674040,285.15
6674070,285.15
6674100,285.15
6674130,285.15
6674160,285.15
6674190,285.15
6674220,285.15
6674250,285.15
6674280,285.15
6674310,285.15
6674340,285.15
6674370,285.15
6674400,285.15
6674430,285.15
6674460,285.15
6674490,285.15
6674520,285.15
6674550,285.15
6674580,285.15
6674610,285.15
6674640,285.15
6674670,285.15
6674700,285.15
6674730,285.15
6674760,285.15
6674790,285.15
6674820,285.15
6674850,285.15
6674880,285.15
6674910,285.15
6674940,285.15
6674970,285.15
6675000,285.15
6675030,285.15
6675060,285.15
6675090,285.15
6675120,285.15
6675150,285.15
6675180,285.15
6675210,285.15
6675240,285.15
6675270,285.15
6675300,285.15
6675330,285.15
6675360,285.15
6675390,285.15
6675420,285.15
6675450,285.15
6675480,285.15
6675510,285.15
6675540,285.15
6675570,285.15
6675600,285.15
6675630,285.15
6675660,285.15
6675690,285.15
6675720,285.15
6675750,285.15
6675780,285.15
6675810,285.15
6675840,285.15
6675870,285.15
6675900,285.15
6675930,285.15
6675960,285.15
6675990,285.15
6676020,285.15
6676050,285.15
6676080,285.15
6676110,285.15
6676140,285.15
6676170,285.15
6676200,285.15
6676230,285.15
6676260,285.15
6676290,285.15
6676320,285.15
6676350,285.15
6676380,285.15
6676410,285.15
6676440,285.15
6676470,285.15
6676500,285.15
6676530,285.15
6676560,285.15
6676590,285.15
6676620,285.15
6676650,285.15
6676680,285.15
6676710,285.15
6676740,285.15
6676770,285.15
6676800,285.15
6676830,285.15
6676860,285.15
6676890,285.15
6676920,285.15
6676950,285.15
6676980,285.15
6677010,285.15
6677040,285.15
6677070,285.15
6677100,285.15
6677130,285.15
6677160,285.15
6677190,285.15
6677220,285.15
6677250,285.15
6677280,285.15
6677310,285.15
6677340,285.15
6677370,285.15
6677400,285.15
6677430,285.15
6677460,285.15
6677490,285.15
6677520,285.15
6677550,285.15
6677580,285.15
6677610,285.15
6677640,285.15
6677670,285.15
6677700,285.15
6677730,285.15
6677760,285.15
6677790,285.15
6677820,285.15
6677850,285.15
6677880,285.15
6677910,285.15
6677940,285.15
6677970,285.15
6678000,285.15
6678030,285.15
6678060,285.15
6678090,285.15
6678120,285.15
6678150,285.15
6678180,285.15
6678210,285.15
6678240,285.15
6678270,285.15
6678300,285.15
6678330,285.15
6678360,285.15
6678390,285.15
6678420,285.15
6678450,285.15
6678480,285.15
6678510,285.15
6678540,285.15
6678570,285.15
6678600,285.15
6678630,285.15
6678660,285.15
6678690,285.15
6678720,285.15
6678750,285.15
6678780,285.15
6678810,285.15
6678840,285.15
6678870,285.15
6678900,285.15
6678930,285.15
6678960,285.15
6678990,285.15
6679020,285.15
6679050,285.15
6679080,285.15
6679110,285.15
6679140,285.15
6679170,285.15
6679200,285.15
6679230,285.15
6679260,285.15
6679290,285.15
6679320,285.15
6679350,285.15
6679380,285.15
6679410,285.15
6679440,285.15
6679470,285.15
6679500,285.15
6679530,285.15
6679560,285.15
6679590,285.15
6679620,285.15
6679650,285.15
6679680,285.15
6679710,285.15
6679740,285.15
6679770,285.15
6679800,285.15
6679830,285.15
6679860,285.15
6679890,285.15
6679920,285.15
6679950,285.15
6679980,285.15
6680010,285.15
6680040,285.15
6680070,285.15
6680100,285.15
6680130,285.15
6680160,285.15
6680190,285.15
6680220,285.15
6680250,285.15
6680280,285.15
6680310,285.15
6680340,285.15
6680370,285.15
6680400,285.15
6680430,285.15
6680460,285.15
6680490,285.15
6680520,285.15
6680550,285.15
6680580,285.15
6680610,285.15
6680640,285.15
6680670,285.15
6680700,285.15
6680730,285.15
6680760,285.15
6680790,285.15
6680820,285.15
6680850,285.15
6680880,285.15
6680910,285.15
6680940,285.15
6680970,285.15
6681000,285.15
6681030,285.15
6681060,285.15
6681090,285.15
6681120,285.15
6681150,285.15
6681180,285.15
6681210,285.15
6681240,285.15
6681270,285.15
6681300,285.15
6681330,285.15
6681360,285.15
6681390,285.15
6681420,285.15
6681450,285.15
6681480,285.15
6681510,285.15
6681540,285.15
6681570,285.15
6681600,285.15
6681630,285.15
6681660,285.15
6681690,285.15
6681720,285.15
6681750,285.15
6681780,285.15
6681810,285.15
6681840,285.15
6681870,285.15
6681900,285.15
6681930,285.15
6681960,285.15
6681990,285.15
6682020,285.15
6682050,285.15
6682080,285.15
6682110,285.15
6682140,285.15
6682170,285.15
6682200,285.15
6682230,285.15
6682260,285.15
6682290,285.15
6682320,285.15
6682350,285.15
6682380,285.15
6682410,285.15
6682440,285.15
6682470,285.15
6682500,285.15
6682530,285.15
6682560,285.15
6682590,285.15
6682620,285.15
6682650,285.15
6682680,285.15
6682710,285.15
6682740,285.15
6682770,285.15
6682800,285.15
6682830,285.15
6682860,285.15
6682890,285.15
6682920,285.15
6682950,285.15
6682980,285.15
6683010,285.15
6683040,285.15
6683070,285.15
6683100,285.15
6683130,285.15
6683160,285.15
6683190,285.15
6683220,285.15
6683250,285.15
6683280,285.15
6683310,285.15
6683340,285.15
6683370,285.15
6683400,285.15
6683430,285.15
6683460,285.15
6683490,285.15
6683520,285.15
6683550,285.15
6683580,285.15
6683610,285.15
6683640,285.15
6683670,285.15
6683700,285.15
6683730,285.15
6683760,285.15
6683790,285.15
6683820,285.15
6683850,285.15
6683880,285.15
6683910,285.15
6683940,285.15
6683970,285.15
6684000,285.15
6684030,285.15
6684060,285.15
6684090,285.15
6684120,285.15
6684150,285.15
6684180,285.15
6684210,285.15
6684240,285.15
6684270,285.15
6684300,285.15
6684330,285.15
6684360,285.15
6684390,285.15
6684420,285.15
6684450,285.15
6684480,285.15
6684510,285.15
6684540,285.15
6684570,285.15
6684600,285.15
6684630,285.15
6684660,285.15
6684690,285.15
6684720,285.15
6684750,285.15
6684780,285.15
6684810,285.15
6684840,285.15
6684870,285.15
6684900,285.15
6684930,285.15
6684960,285.15
6684990,285.15
6685020,285.15
6685050,285.15
6685080,285.15
6685110,285.15
6685140,285.15
6685170,285.15
6685200,285.15
6685230,285.15
6685260,285.15
6685290,285.15
6685320,285.15
6685350,285.15
6685380,285.15
6685410,285.15
6685440,285.15
6685470,285.15
6685500,285.15
6685530,285.15
6685560,285.15
6685590,285.15
6685620,285.15
6685650,285.15
6685680,285.15
6685710,285.15
6685740,285.15
6685770,285.15
6685800,285.15
6685830,285.15
6685860,285.15
6685890,285.15
6685920,285.15
6685950,285.15
6685980,285.15
6686010,285.15
6686040,285.15
6686070,285.15
6686100,285.15
6686130,285.15
6686160,285.15
6686190,285.15
6686220,285.15
6686250,285.15
6686280,285.15
6686310,285.15
6686340,285.15
6686370,285.15
6686400,285.15
6686430,285.15
6686460,285.15
6686490,285.15
6686520,285.15
6686550,285.15
6686580,285.15
6686610,285.15
6686640,285.15
6686670,285.15
6686700,285.15
6686730,285.15
6686760,285.15
6686790,285.15
6686820,285.15
6686850,285.15
6686880,285.15
6686910,285.15
6686940,285.15
6686970,285.15
6687000,285.15
6687030,285.15
6687060,285.15
6687090,285.15
6687120,285.15
6687150,285.15
6687180,285.15
6687210,285.15
6687240,285.15
6687270,285.15
6687300,285.15
6687330,285.15
6687360,285.15
6687390,285.15
6687420,285.15
6687450,285.15
6687480,285.15
6687510,285.15
6687540,285.15
6687570,285.15
6687600,285.15
6687630,285.15
6687660,285.15
6687690,285.15
6687720,285.15
6687750,285.15
6687780,285.15
6687810,285.15
6687840,285.15
6687870,285.15
6687900,285.15
6687930,285.15
6687960,285.15
6687990,285.15
6688020,285.15
6688050,285.15
6688080,285.15
6688110,285.15
6688140,285.15
6688170,285.15
6688200,285.15
6688230,285.15
6688260,285.15
6688290,285.15
6688320,285.15
6688350,285.15
6688380,285.15
6688410,285.15
6688440,285.15
6688470,285.15
6688500,285.15
6688530,285.15
6688560,285.15
6688590,285.15
6688620,285.15
6688650,285.15
6688680,285.15
6688710,285.15
6688740,285.15
6688770,285.15
6688800,285.15
6688830,285.15
6688860,285.15
6688890,285.15
6688920,285.15
6688950,285.15
6688980,285.15
6689010,285.15
6689040,285.15
6689070,285.15
6689100,285.15
6689130,285.15
6689160,285.15
6689190,285.15
6689220,285.15
6689250,285.15
6689280,285.15
6689310,285.15
6689340,285.15
6689370,285.15
6689400,285.15
6689430,285.15
6689460,285.15
6689490,285.15
6689520,285.15
6689550,285.15
6689580,285.15
6689610,285.15
6689640,285.15
6689670,285.15
6689700,285.15
6689730,285.15
6689760,285.15
6689790,285.15
6689820,285.15
6689850,285.15
6689880,285.15
6689910,285.15
6689940,285.15
6689970,285.15
6690000,285.15
6690030,285.15
6690060,285.15
6690090,285.15
6690120,285.15
6690150,285.15
6690180,285.15
6690210,285.15
6690240,285.15
6690270,285.15
6690300,285.15
6690330,285.15
6690360,285.15
6690390,285.15
6690420,285.15
6690450,285.15
6690480,285.15
6690510,285.15
6690540,285.15
6690570,285.15
6690600,285.15
6690630,285.15
6690660,285.15
6690690,285.15
6690720,285.15
6690750,285.15
6690780,285.15
6690810,285.15
6690840,285.15
6690870,285.15
6690900,285.15
6690930,285.15
6690960,285.15
6690990,285.15
6691020,285.15
6691050,285.15
6691080,285.15
6691110,285.15
6691140,285.15
6691170,285.15
6691200,285.15
6691230,285.15
6691260,285.15
6691290,285.15
6691320,285.15
6691350,285.15
6691380,285.15
6691410,285.15
6691440,285.15
6691470,285.15
6691500,285.15
6691530,285.15
6691560,285.15
6691590,285.15
6691620,285.15
6691650,285.15
6691680,285.15
6691710,285.15
6691740,285.15
6691770,285.15
6691800,285.15
6691830,285.15
6691860,285.15
6691890,285.15
6691920,285.15
6691950,285.15
6691980,285.15
6692010,285.15
6692040,285.15
6692070,285.15
6692100,285.15
6692130,285.15
6692160,285.15
6692190,285.15
6692220,285.15
6692250,285.15
6692280,285.15
6692310,285.15
6692340,285.15
6692370,285.15
6692400,285.15
6692430,285.15
6692460,285.15
6692490,285.15
6692520,285.15
6692550,285.15
6692580,285.15
6692610,285.15
6692640,285.15
6692670,285.15
6692700,285.15
6692730,285.15
6692760,285.15
6692790,285.15
6692820,285.15
6692850,285.15
6692880,285.15
6692910,285.15
6692940,285.15
6692970,285.15
6693000,285.15
6693030,285.15
6693060,285.15
6693090,285.15
6693120,285.15
6693150,285.15
6693180,285.15
6693210,285.15
6693240,285.15
6693270,285.15
6693300,285.15
6693330,285.15
6693360,285.15
6693390,285.15
6693420,285.15
6693450,285.15
6693480,285.15
6693510,285.15
6693540,285.15
6693570,285.15
6693600,285.15
6693630,285.15
6693660,285.15
6693690,285.15
6693720,285.15
6693750,285.15
6693780,285.15
6693810,285.15
6693840,285.15
6693870,285.15
6693900,285.15
6693930,285.15
6693960,285.15
6693990,285.15
6694020,285.15
6694050,285.15
6694080,285.15
6694110,285.15
6694140,285.15
6694170,285.15
6694200,285.15
6694230,285.15
6694260,285.15
6694290,285.15
6694320,285.15
6694350,285.15
6694380,285.15
6694410,285.15
6694440,285.15
6694470,285.15
6694500,285.15
6694530,285.15
6694560,285.15
6694590,285.15
6694620,285.15
6694650,285.15
6694680,285.15
6694710,285.15
6694740,285.15
6694770,285.15
6694800,285.15
6694830,285.15
6694860,285.15
6694890,285.15
6694920,285.15
6694950,285.15
6694980,285.15
6695010,285.15
6695040,285.15
6695070,285.15
6695100,285.15
6695130,285.15
6695160,285.15
6695190,285.15
6695220,285.15
6695250,285.15
6695280,285.15
6695310,285.15
6695340,285.15
6695370,285.15
6695400,285.15
6695430,285.15
6695460,285.15
6695490,285.15
6695520,285.15
6695550,285.15
6695580,285.15
6695610,285.15
6695640,285.15
6695670,285.15
6695700,285.15
6695730,285.15
6695760,285.15
6695790,285.15
6695820,285.15
6695850,285.15
6695880,285.15
6695910,285.15
6695940,285.15
6695970,285.15
6696000,285.15
6696030,285.15
6696060,285.15
6696090,285.15
6696120,285.15
6696150,285.15
6696180,285.15
6696210,285.15
6696240,285.15
6696270,285.15
6696300,285.15
6696330,285.15
6696360,285.15
6696390,285.15
6696420,285.15
6696450,285.15
6696480,285.15
6696510,285.15
6696540,285.15
6696570,285.15
6696600,285.15
6696630,285.15
6696660,285.15
6696690,285.15
6696720,285.15
6696750,285.15
6696780,285.15
6696810,285.15
6696840,285.15
6696870,285.15
6696900,285.15
6696930,285.15
6696960,285.15
6696990,285.15
6697020,285.15
6697050,285.15
6697080,285.15
6697110,285.15
6697140,285.15
6697170,285.15
6697200,285.15
6697230,285.15
6697260,285.15
6697290,285.15
6697320,285.15
6697350,285.15
6697380,285.15
6697410,285.15
6697440,285.15
6697470,285.15
6697500,285.15
6697530,285.15
6697560,285.15
6697590,285.15
6697620,285.15
6697650,285.15
6697680,285.15
6697710,285.15
6697740,285.15
6697770,285.15
6697800,285.15
6697830,285.15
6697860,285.15
6697890,285.15
6697920,285.15
6697950,285.15
6697980,285.15
6698010,285.15
6698040,285.15
6698070,285.15
6698100,285.15
6698130,285.15
6698160,285.15
6698190,285.15
6698220,285.15
6698250,285.15
6698280,285.15
6698310,285.15
6698340,285.15
6698370,285.15
6698400,285.15
6698430,285.15
6698460,285.15
6698490,285.15
6698520,285.15
6698550,285.15
6698580,285.15
6698610,285.15
6698640,285.15
6698670,285.15
6698700,285.15
6698730,285.15
6698760,285.15
6698790,285.15
6698820,285.15
6698850,285.15
6698880,285.15
6698910,285.15
6698940,285.15
6698970,285.15
6699000,285.15
6699030,285.15
6699060,285.15
6699090,285.15
6699120,285.15
6699150,285.15
6699180,285.15
6699210,285.15
6699240,285.15
6699270,285.15
6699300,285.15
6699330,285.15
6699360,285.15
6699390,285.15
6699420,285.15
6699450,285.15
6699480,285.15
6699510,285.15
6699540,285.15
6699570,285.15
6699600,285.15
6699630,285.15
6699660,285.15
6699690,285.15
6699720,285.15
6699750,285.15
6699780,285.15
6699810,285.15
6699840,285.15
6699870,285.15
6699900,285.15
6699930,285.15
6699960,285.15
6699990,285.15
6700020,285.15
6700050,285.15
6700080,285.15
6700110,285.15
6700140,285.15
6700170,285.15
6700200,285.15
6700230,285.15
6700260,285.15
6700290,285.15
6700320,285.15
6700350,285.15
6700380,285.15
6700410,285.15
6700440,285.15
6700470,285.15
6700500,285.15
6700530,285.15
6700560,285.15
6700590,285.15
6700620,285.15
6700650,285.15
6700680,285.15
6700710,285.15
6700740,285.15
6700770,285.15
6700800,285.15
6700830,285.15
6700860,285.15
6700890,285.15
6700920,285.15
6700950,285.15
6700980,285.15
6701010,285.15
6701040,285.15
6701070,285.15
6701100,285.15
6701130,285.15
6701160,285.15
6701190,285.15
6701220,285.15
6701250,285.15
6701280,285.15
6701310,285.15
6701340,285.15
6701370,285.15
6701400,285.15
6701430,285.15
6701460,285.15
6701490,285.15
6701520,285.15
6701550,285.15
6701580,285.15
6701610,285.15
6701640,285.15
6701670,285.15
6701700,285.15
6701730,285.15
6701760,285.15
6701790,285.15
6701820,285.15
6701850,285.15
6701880,285.15
6701910,285.15
6701940,285.15
6701970,285.15
6702000,285.15
6702030,285.15
6702060,285.15
6702090,285.15
6702120,285.15
6702150,285.15
6702180,285.15
6702210,285.15
6702240,285.15
6702270,285.15
6702300,285.15
6702330,285.15
6702360,285.15
6702390,285.15
6702420,285.15
6702450,285.15
6702480,285.15
6702510,285.15
6702540,285.15
6702570,285.15
6702600,285.15
6702630,285.15
6702660,285.15
6702690,285.15
6702720,285.15
6702750,285.15
6702780,285.15
6702810,285.15
6702840,285.15
6702870,285.15
6702900,285.15
6702930,285.15
6702960,285.15
6702990,285.15
6703020,285.15
6703050,285.15
6703080,285.15
6703110,285.15
6703140,285.15
6703170,285.15
6703200,285.15
6703230,285.15
6703260,285.15
6703290,285.15
6703320,285.15
6703350,285.15
6703380,285.15
6703410,285.15
6703440,285.15
6703470,285.15
6703500,285.15
6703530,285.15
6703560,285.15
6703590,285.15
6703620,285.15
6703650,285.15
6703680,285.15
6703710,285.15
6703740,285.15
6703770,285.15
6703800,285.15
6703830,285.15
6703860,285.15
6703890,285.15
6703920,285.15
6703950,285.15
6703980,285.15
6704010,285.15
6704040,285.15
6704070,285.15
6704100,285.15
6704130,285.15
6704160,285.15
6704190,285.15
6704220,285.15
6704250,285.15
6704280,285.15
6704310,285.15
6704340,285.15
6704370,285.15
6704400,285.15
6704430,285.15
6704460,285.15
6704490,285.15
6704520,285.15
6704550,285.15
6704580,285.15
6704610,285.15
6704640,285.15
6704670,285.15
6704700,285.15
6704730,285.15
6704760,285.15
6704790,285.15
6704820,285.15
6704850,285.15
6704880,285.15
6704910,285.15
6704940,285.15
6704970,285.15
6705000,285.15
6705030,285.15
6705060,285.15
6705090,285.15
6705120,285.15
